"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Ocampo S.P.","Ocampo, Sergio Pignuoli (55443166700)","55443166700","Symbol and communication - Towards a concept of symbolic communication based on the general theory of social systems; [Símbolo e comunicação - rumo a um conceito de comunicação simbólica a partir da teoria geral dos sistemas sociais]","2019","Sociologia e Antropologia","9","3","","871","893","22","1","10.1590/2238-38752019v937","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078864055&doi=10.1590%2f2238-38752019v937&partnerID=40&md5=0cb5042b57f47963e373d5bb090fc9c9","Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad de Buenos Aires (UBA), Instituto de Investigaciones Gino Germani (IIGG), Buenos Aires, Argentina","Ocampo S.P., Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad de Buenos Aires (UBA), Instituto de Investigaciones Gino Germani (IIGG), Buenos Aires, Argentina","In this paper we examine the general connection between symbol and communication in Niklas Luhmann's General Theory of Social Systems and problematize this connection in order to elaborate a general concept of symbolic communication based on this approach. This aim in mind, we analyse the possibilities afforded by such an elaboration, opting to extend the concept of symbolically generalized communication media (SGCM) through its orientation towards the improbability of acceptance. We advance the hypothesis that, in reference to the improbability of acceptance, communication stylizes the expectations of acceptability by introducing symbols and symbolizations. The resulting schema is then projected onto the SGCM theory, enabling a strong extension of the latter. © 2019 Universidade Federal do Rio de Janeiro (UFRJ).","Communication; General Theory of Social Systems; Social acceptance; Symbol; Symbolically generalized media of communication","","S.P. Ocampo; Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad de Buenos Aires (UBA), Instituto de Investigaciones Gino Germani (IIGG), Buenos Aires, Argentina; email: spignuoli@conicet.gov.ar","","Universidade Federal do Rio de Janeiro (UFRJ)","22383875","","","","Portuguese","Sociol. Antropol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85078864055"
"Mariñez-Sánchez C.; Labraña-Vargas J.; Matus-Sepúlveda T.","Mariñez-Sánchez, César (57195640452); Labraña-Vargas, Julio (57210729666); Matus-Sepúlveda, Teresa (57211385766)","57195640452; 57210729666; 57211385766","Systemic coordination in the public sphere: Observing the conversion of scientific expertise into trust from the functional systemic model and the formal pragmatic model; [Coordinación sistémica en la esfera pública: Observando la conversión de la experticia científica en confianza desde el modelo sistémico funcional y el modelo pragmático formal]","2019","Cinta de Moebio","65","","","209","226","17","2","10.4067/S0717-554X2019000200209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073754022&doi=10.4067%2fS0717-554X2019000200209&partnerID=40&md5=c506c7061a55ca8be5e2b17017bcf031","Departamento de Trabajo Social, Universidad de Chile, Santiago, Chile; Centro de Políticas Comparadas de Educación, Universidad Diego Portales, Santiago, Chile","Mariñez-Sánchez C., Departamento de Trabajo Social, Universidad de Chile, Santiago, Chile; Labraña-Vargas J., Centro de Políticas Comparadas de Educación, Universidad Diego Portales, Santiago, Chile; Matus-Sepúlveda T., Departamento de Trabajo Social, Universidad de Chile, Santiago, Chile","This article seeks to observe the differences between the functional-systemic model and the pragmatic-formal model in their understanding of scientific expertise and its role in modern societies. First, a brief diagnosis about the importance of trust in scientific expertise in contemporary society and how this process has been analyzed in the specialized literature will be made. Then, the description of scientific knowledge will be analyzed from the point of view of the functional systemic model. Using the concepts of functional differentiation and structural coupling, it will be argued that scientific knowledge is here considered a specialized form of communication characteristic of a functional system. Next, the approximation of the formal-pragmatic model is described. Of special importance here are the ideas of lifeworld and public sphere. On the basis of these characterizations, the visions of these authors are compared and the differences are analyzed in relation to their conceptualization of expertise. It is then suggested that the differences between these two models in relation to the ontological status of the lifeworld shape their views of scientific expertise as well as current debates on this topic. The article ends with a summary and possible future line of research. © 2019 Universidad de Chile, Facultad de Ciencias Sociales. All rights reserved.","Expert scientific knowledge; Formal pragmatism; Social systems theory; Trust","","","","Universidad de Chile, Facultad de Ciencias Sociales","0717554X","","","","Spanish","Cinta Moebio","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85073754022"
"Bohórquez C.P.; Grisales K.M.; Jaramillo J.J.; Pineda J.R.","Bohórquez, Clara Pantoja (57216934275); Grisales, Karen Martínez (57216934460); Jaramillo, Juliana Jaramillo (57216936194); Pineda, Jair Restrepo (57189049762)","57216934275; 57216934460; 57216936194; 57189049762","From invisibility to homophobia continuum: Socio-cultural barriers for LGBTI families in Colombia; [De la invisibilidad al continuum de homofobia: Barreras socioculturales para las familias LGBTI en Colombia]","2020","Psicoperspectivas","19","1","","","","","2","10.5027/PSICOPERSPECTIVAS-VOL19-ISSUE1-FULLTEXT-1758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085393337&doi=10.5027%2fPSICOPERSPECTIVAS-VOL19-ISSUE1-FULLTEXT-1758&partnerID=40&md5=a965176e91f34bfae58173f8b1470036","Corporación Universitaria Minuto de Dios (UNIMINUTO), Bogotá, Cundinamarca, Colombia; Universidad de los Andes, Bogotá, Cundinamarca, Colombia","Bohórquez C.P., Corporación Universitaria Minuto de Dios (UNIMINUTO), Bogotá, Cundinamarca, Colombia; Grisales K.M., Corporación Universitaria Minuto de Dios (UNIMINUTO), Bogotá, Cundinamarca, Colombia; Jaramillo J.J., Universidad de los Andes, Bogotá, Cundinamarca, Colombia; Pineda J.R., Corporación Universitaria Minuto de Dios (UNIMINUTO), Bogotá, Cundinamarca, Colombia","This paper makes an approach to the main social and cultural barriers faced by LGBTI families in Colombia from the perspective of 44 activists from social organizations. A qualitative-interpretative research was developed, using semi-structured interviews technique. The results are analyzed from the theoretical elements of compulsory heterosexuality, stigma and family as produced and producing a social system of material and symbolic relationships. It is noted that although these families have historically existed, they continue to experience manifestations of invisibility, homophobia, discrimination and violence in different contexts, as a result of normalization of the hegemonic model of the heterosexual nuclear family. It is concluded that the visibility and politicization of LGBTI families allows to de-essentialize the conceptions of family associated with reproduction and gender binarism, and should be read as a space of tension and transformation of the societal order, however challenges are presented at the macro and microsocial levels, to overcome the indicated sociocultural barriers. © 2020 Pontificia Universidad Catolica de Valparaiso. All rights reserved.","Family; LGBTI; Mandatory heterosexuality; Stigma","","C.P. Bohórquez; Corporación Universitaria Minuto de Dios (UNIMINUTO), Bogotá, Cundinamarca, Colombia; email: cpantoja@uniminuto.edu","","Pontificia Universidad Catolica de Valparaiso","07186924","","","","Spanish","Psicoperspectivas","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85085393337"
"Quiroga D.M.O.; Reyes M.S.","Quiroga, Diana Marcela Ortiz (57194392315); Reyes, Melania Satizabal (57208565082)","57194392315; 57208565082","Occupational therapy with the community: Complexity, actions, and contexts","2019","Brazilian Journal of Occupational Therapy","27","1","","197","207","10","4","10.4322/2526-8910.ctoRE1715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065118434&doi=10.4322%2f2526-8910.ctoRE1715&partnerID=40&md5=57e498ee9011d42b2e98619d4f04297d","Universidad Del Valle, Calle 4 # 36b-00, San Fernando, Santiago de Cali, Colombia","Quiroga D.M.O., Universidad Del Valle, Calle 4 # 36b-00, San Fernando, Santiago de Cali, Colombia; Reyes M.S., Universidad Del Valle, Calle 4 # 36b-00, San Fernando, Santiago de Cali, Colombia","Introduction: Occupational Therapists have been building community-based actions, however, these have been little documented. Objective: To systematize the actions of the Occupational Therapist in community as part of the process carried out under the project ""Contribution to the processes of social inclusion of people with disabilities through community participation in the commune 20"" Cali, Colombia. Method: Exploratory-reflective study. Documentary analysis and interviewing were used as a data collection technique. Results: The process included four actions: the first, or baseline, made it possible to understand the needs of the population and the project readjustment; The second, the identification of key actors that have a social impact on disability issues; The third, visibility of disability as a social problem. In the fourth action, the capacity for action and self-management of a group of actors was accompanied and strengthened. Conclusion: Conceiving the subject from a social model, it made possible find needs and collective answers, accompany the group of people with disabilities in their identification as civic. Meanwhile, find the actions from a systemic approach involved to consider the interaction of different social systems and a look beyond the individual to the community. © 2019 Universidade Federal de Sao Carlos. All rights reserved.","Community Participation; Disabled Persons; Occupational Therapy","","D.M.O. Quiroga; Universidad Del Valle, San Fernando, Santiago de Cali, Calle 4 # 36b-00, Colombia; email: dianaortiz_9@hotmail.com","","Universidade Federal de Sao Carlos","25268910","","","","English","Braz. J. Occup. Ther.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85065118434"
"Seoane-Pérez F.; Martínez-Nicolás M.; Vicente-Mariño M.","Seoane-Pérez, Francisco (57200803814); Martínez-Nicolás, Manuel (55135925700); Vicente-Mariño, Miguel (36626462500)","57200803814; 55135925700; 36626462500","The brain drain in spanish communication research: The perspective of spanish academics abroad; [Fuga de talento en la investigación española sobre comunicación: Percepción de los investigadores españoles en el extranjero]","2020","Profesional de la Informacion","29","4","e290433","1","13","12","5","10.3145/epi.2020.jul.33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090240470&doi=10.3145%2fepi.2020.jul.33&partnerID=40&md5=0f2a729bb4788895173f1a4c7cca3518","Universidad Carlos III de Madrid, Departamento de Comunicación, Madrid, 133, Getafe (Madrid), 28903, Spain; Universidad Rey Juan Carlos Facultad de Ciencias de la Comunicación, Camino del Molino, 5, Fuenlabrada (Madrid), 28942, Spain; Universidad de Valladolid Campus María Zambrano, Plaza de la Universidad, 1, Segovia, 40005, Spain","Seoane-Pérez F., Universidad Carlos III de Madrid, Departamento de Comunicación, Madrid, 133, Getafe (Madrid), 28903, Spain; Martínez-Nicolás M., Universidad Rey Juan Carlos Facultad de Ciencias de la Comunicación, Camino del Molino, 5, Fuenlabrada (Madrid), 28942, Spain; Vicente-Mariño M., Universidad de Valladolid Campus María Zambrano, Plaza de la Universidad, 1, Segovia, 40005, Spain","Spanish Communication scholars working at foreign universities offer a vantage point to examine the access to an academic career in Spain and the international impact of Spanish scientific production. The reasons for their departure to other countries lie in the deficiencies of the Spanish university system. Drawing from the concepts of habitus (Pierre Bourdieu) and autopoiesis (Niklas Luhmann), 13 semistructured interviews were conducted with researchers chosen by snowball sampling. The informants highlight faculty hiring mechanisms, which in their view have not improved significantly even after the introduction of an accreditation system in 2008. The results also show the poor image of Spanish Communication research abroad, as it is regarded as disconnected from the international trends in the field. The improvements identified by the consulted sample indicate a slow but steady incorporation of Spanish research into the international sphere. However, this is insufficient, in the opinion of the interviewees, to stimulate a possible return of emigrated talent to Spanish higher education institutions. Insufficient and intermittent research funding is one of the most relevant roadblocks. Convergence with the systems leading the world’s scientific production today is still perceived as an unlikely and remote scenario. © 2020, El Profesional de la Informacion. All rights reserved.","Assessment procedures; Brain drain; Communication; Communication research; Cronyism; Faculty selection; Higher education; Researchers; Semistructured interviews; Sociology of scientific knowledge; Spain","","M. Martínez-Nicolás; Universidad Rey Juan Carlos Facultad de Ciencias de la Comunicación, Fuenlabrada (Madrid), Camino del Molino, 5, 28942, Spain; email: manuel.martinez.nicolas@urjc.es","","El Profesional de la Informacion","13866710","","","","Spanish","Prof. Inf.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85090240470"
"Kölling G.J.; Olsson G.A.; Rocha L.S.","Kölling, Gabrielle Jacobi (57210324374); Olsson, Gustavo André (57213192806); Rocha, Leonel Severo (57213186093)","57210324374; 57213192806; 57213186093","The confirmation of a course: The medicine system and prevention-an analysis from social system theory; [A confirmação de um percurso: O sistema da medicina e a prevenção-uma análise a partir da teoria dos sistemas sociais]","2019","Revista de Estudos Constitucionais, Hermeneutica e Teoria do Direito","11","2","","295","312","17","0","10.4013/rechtd.2019.112.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077701205&doi=10.4013%2frechtd.2019.112.10&partnerID=40&md5=e40ce3d251bc6a1e4512fdf0bf56331a","Universidade Municipal de São Caetano do Sul, USCS, Brazil; Centro Universitário das Universidades Metropolitanas Unidas, FMU, Brazil; Universidade do Vale do Rio dos Sinos (UNISINOS), Brazil","Kölling G.J., Universidade Municipal de São Caetano do Sul, USCS, Brazil, Centro Universitário das Universidades Metropolitanas Unidas, FMU, Brazil; Olsson G.A., Universidade do Vale do Rio dos Sinos (UNISINOS), Brazil; Rocha L.S., Universidade do Vale do Rio dos Sinos (UNISINOS), Brazil","There are constant concerns related to the operation of the medical and health systems, the subject was observed by Luhmann in a very general way, since it was one of the last systems to be studied by the author. At the same time, especially from the translation of Luhmann's chapter on medicine, the different systemic approaches to the medical system began. The uneasiness of the operation of the medical system is associated with its curative role. In theory, in this analysis, there would be no reference to the preventive role, nor its relationship with the health system. This was the purpose of the article: to analyze the limits of this relationship and to indicate how prevention is inserted in this context. This article is the result of the evolution of the research path traced by the authors, who in an earlier moment performed an analysis of the medical system and its operation from its own binary code, in order to visualize the space of prevention in the relationship between medical system with the health system in the context of Social Systems Theory. The article presented the confirmation of this theoretical path, using vaccination as a privileged locus for observing the relationship between prevention and the medical and health system. © Universidade do Vale do Rio dos Sinos.","Health; Medicine; Prevention; System; Theory of social systems","","","","Universidade do Vale do Rio dos Sinos","21752168","","","","Portuguese","Rev. Estud. Const. Hermeneut. Teor. Direito","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85077701205"
"Nassehi A.","Nassehi, Armin (57519951200)","57519951200","The paradox of invisibility and the ""absoluteness"" of religion and morality; [La paradoja de la invisibilidad y la ""absolutidad"" de la religión y moral]","2020","Revista Mad","","43","","1","13","12","1","10.5354/0718-0527.2020.60648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108858075&doi=10.5354%2f0718-0527.2020.60648&partnerID=40&md5=149cdfb726daeaa64a23f40281ab13d0","Universidad Ludwig Maximilian de Múnich, Alemania, Mexico","Nassehi A., Universidad Ludwig Maximilian de Múnich, Alemania, Mexico","The sociological study of the relationship between morality and religion has been conducted from points of view belonging to theoretical traditions which evidence deficiencies for the understanding of both terms. The present work aims to critically analyze some central aspects of these approaches and proposes to overcome their difficulties by exposing their paradoxes and blind spots. The paper concludes with recommendations for the sociological study of religion and morality in the context of a functionally differentiated society. © 2020 Universidad de Chile. All rights reserved.","Functional differentiation; Modernization; Social systems; Sociology of morality; Sociology of religion","","","","Universidad de Chile","07180527","","","","Spanish","Rev. Mad","Article","Final","","Scopus","2-s2.0-85108858075"
"Ocampo S.P.; Brasil A., Jr.","Ocampo, Sergio Pignuoli (55443166700); Brasil, Antonio (57198003270)","55443166700; 57198003270","The 'post-luhmannian' scenario and Latin America: Interviews with Marcelo Neves and Aldo Mascareno; [Cenário ""pós-luhmanniano"" e a América Latina: ENtrevistas Com Marcelo Neves e Aldo Mascareño]","2020","Sociologia e Antropologia","10","1","","15","72","57","1","10.1590/2238-38752019V1011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086280285&doi=10.1590%2f2238-38752019V1011&partnerID=40&md5=9ada71b3f6add82bf59fd5e787b94774","Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad de Buenos Aires (UBA), Instituto de Investigaciones Gino Germani (IIGG), Buenos Aires, Argentina; Universidade Federal do Rio de Janeiro (UFRJ), Departamento de Sociologia e Programa de Pós-Graduação em Sociologia e Antropologia, Rio de Janeiro, RJ, Brazil","Ocampo S.P., Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Universidad de Buenos Aires (UBA), Instituto de Investigaciones Gino Germani (IIGG), Buenos Aires, Argentina; Brasil A., Jr., Universidade Federal do Rio de Janeiro (UFRJ), Departamento de Sociologia e Programa de Pós-Graduação em Sociologia e Antropologia, Rio de Janeiro, RJ, Brazil","At the end of 2019, we interviewed by email Professors Marcelo Neves and Aldo Mascareno, presenting them with a similar list of questions on their intellectual trajectories and the principal challenges involved in the task of adapting Niklas Luhmann's social systems theory to the Latin American context. As well as the two interviews, we provide a brief presentation of what we call the 'post-Luhmannian' scenario and the potential for its Latin American reception to renew the systemic legacy in the present, including a short bibliometric exploration of some of the patterns evident in this reception. © 2020 Universidade Federal do Rio de Janeiro (UFRJ).","Aldo Mascareño; Latin America; Marcelo Neves; Niklas Luhmann; Systems theory","","","","Universidade Federal do Rio de Janeiro (UFRJ)","22383875","","","","Portuguese","Sociol. Antropol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85086280285"
"Berwig J.A.","Berwig, Juliane Altmann (57200193100)","57200193100","Nanotechnological risks and their international and national regulation: Its importance in the context of time and human rights; [Riscos nanotecnológicos e seu regulamento internacional e nacional: Sua importância no contexto do tempo e dos direitos humanos]","2020","Revista Juridica","1","58","","207","243","36","0","10.21902/revistajur.2316-753X.v1i58.3831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087825122&doi=10.21902%2frevistajur.2316-753X.v1i58.3831&partnerID=40&md5=067d8f9b2cd732542f22d9abb7b2f339","Lawyers for Corporate Real Estate Law of Rio Grande do Sul, Associação Gaúcha dos Advogados do Direito Imobiliário Empresarial – AGADIE, Brazil","Berwig J.A., Lawyers for Corporate Real Estate Law of Rio Grande do Sul, Associação Gaúcha dos Advogados do Direito Imobiliário Empresarial – AGADIE, Brazil","Objective: The present article aims to discuss the risks inherent the new technologies, especially nanotechnology, to the environment and, consequently, to human beings. From this point of view, it presents the evidence of risks pointed out by scholars as well as the discussions already performed at an international level considering their necessary and emerging regulation. Methodology: This article uses the methodology of literature survey and a systemic-constructivist framework to approach the risks, in the light of Niklas Luhmann’s concept of society of risk to discuss why nanotechnological risks should be taken into account. Results: The investigation has as conclusion that, despite the clear evidence of risks, so far there has been no regulation aiming at the development of this technology with investments in safety for the purpose of controlling environmental and human risks. Important issues must be taken into account in the national internal development of a “nanolaw”. Contributions: As a contribution, this paper discusses some of the main events already held at an international level focusing on the regulation of nanotechnology for its safe development with regard to the environment and human beings. At these events reports were issued supporting the need to share information and also to enter into an international agreement on safety measures designed to face nanotechnologial risks by implementing risk management. © 2020, Centro Universitário Curitiba - UNICURITIBA. All rights reserved.","Human rights; Nanotechnology; Regulation; Risks","","","","Centro Universitário Curitiba - UNICURITIBA","2316753X","","","","English","Rev. Jurid.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85087825122"
"Labraña J.; Ocampo S.P.; Thumala-Dockendorff D.; Arnold-Cathalifaud M.","Labraña, Julio (57210729666); Ocampo, Sergio Pignuoli (55443166700); Thumala-Dockendorff, Daniela (51462380900); Arnold-Cathalifaud, Marcelo (23479547400)","57210729666; 55443166700; 51462380900; 23479547400","The functional differentiation of society and its structural conditions to face the COVID-19 pandemic; [La diferenciación funcional de la sociedad y sus condiciones estructurales para enfrentar la pandemia por COVID-19]","2020","Revista Mad","","43","","60","70","10","1","10.5354/0718-0527.2020.60652","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108858070&doi=10.5354%2f0718-0527.2020.60652&partnerID=40&md5=6b4e547bcd1873f6dadc958cf15635b6","Universidad Diego Portales, Chile; CONICET, Universidad de Buenos Aires, Argentina; Facultad de Ciencias Sociales de la Universidad de Chile, Chile; Facultad de Ciencias Sociales de la Universidad de Chile, Chile","Labraña J., Universidad Diego Portales, Chile; Ocampo S.P., CONICET, Universidad de Buenos Aires, Argentina; Thumala-Dockendorff D., Facultad de Ciencias Sociales de la Universidad de Chile, Chile; Arnold-Cathalifaud M., Facultad de Ciencias Sociales de la Universidad de Chile, Chile","COVID-19 has produced intense public communication on a global level. Social sciences have reacted by producing information on their impacts in different spheres of social life, particularly regarding economy, politics, and science. However, there has been not so much consideration about how the functionally differentiated structure of society favors or restricts collaborative attempts to address the pandemic. Specifically, in this way, social systems theory will be applied to identify systemic mechanisms of reflection and rationality that could stimulate collaboration, and then propose organizational modes that would foster it. © 2020 Universidad de Chile. All rights reserved.","Collaboration; COVID-19; Functional differentiation; Reflection; Social systems theory; Systemic rationality","","","","Universidad de Chile","07180527","","","","Spanish","Rev. Mad","Article","Final","","Scopus","2-s2.0-85108858070"
"Lopez-Sandoval M.; Maldonado P.","Lopez-Sandoval, Maria (54409578400); Maldonado, Paola (57218547424)","54409578400; 57218547424","Change, Collective Action, and Cultural Resilience in Paramo Management in Ecuador","2019","Mountain Research and Development","39","4","","R1","R9","8","6","10.1659/MRD-JOURNAL-D-19-00007.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089493225&doi=10.1659%2fMRD-JOURNAL-D-19-00007.1&partnerID=40&md5=2805058223603f12d909e591af3cff41","Departamento Desarrollo Ambiente y Territorio, FLACSO-Ecuador Calle la Pradera, E7-174 y Av. Diego de Almagro, Quito, 170518, Ecuador; Fundacion ALDEA, Asturias N24-02 y Gonzalo de Vera, Quito, 170408, Ecuador","Lopez-Sandoval M., Departamento Desarrollo Ambiente y Territorio, FLACSO-Ecuador Calle la Pradera, E7-174 y Av. Diego de Almagro, Quito, 170518, Ecuador; Maldonado P., Fundacion ALDEA, Asturias N24-02 y Gonzalo de Vera, Quito, 170408, Ecuador","This study examines how agricultural frontier expansion and grazing practices develop in the paramos under communal tenure in the northern Ecuadorian Andes and how rules to control them emerge within communal governance. We approach these questions through the lens of collective action and cultural resilience, to understand the evolution of communal governance. We analyze a case study of the Comite de Paramo Ñukanchik Urku, a multicommunal organization created in the 1990s for collective resource management. We use the analytical framework of social-ecological systems (SES) to approach changes of the agricultural frontiers and grazing activities as conservation outcomes resulting from changes in resource units, actors, and governance structures. Through a mixed-method approach combining air photo analysis (years 1956, 1993, and 2008) and qualitative research, we examine spatial patterns of settlement and agricultural frontier expansion, historical grazing practices, and the main elements of current collective paramo management. Our results indicate that: (1) the demarcation of an agreed agricultural frontier as a territorial landmark is a response aiming to control the increase of crops and dwellings at higher elevations, and to limit grazing activities; (2) the authority's legitimation of the Committee and its Board is crucial to develop rules and to enforce them; and (3) legitimation is achieved through conservation knowledge and autonomous decisions to control paramos considered a communal territory. A broader comprehension of the context and history of cultural change is needed to understand the emergence of communal governance of paramos. Cultural-political dimensions are key to the cultural resilience of social systems in SES and to strengthening rules and institutional diversity to manage the commons in Andean communities. © 2019 Lopez-Sandoval and Maldonado.","Andes; collective resource management, communal governance; cultural resilience; Ecuador; paramos; social-ecological systems","Andes; Ecuador; collective action; governance approach; institutional framework; resource management; territory","","","International Mountain Society","02764741","","","","English","Mt. Res. Dev.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85089493225"
"Lima M.A.","Lima, Maria Antónia (57225930721)","57225930721","Desobediência Civil em Estrada de Palha: Um western português alentejano","2019","Anglo Saxonica","17","1","10","","","","0","10.5334/AS.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109924159&doi=10.5334%2fAS.4&partnerID=40&md5=43397ff611f9652d262393ea56ba667b","Centro de Estudos Anglísticos, Universidade de Lisboa, Universidade de Évora, Portugal","Lima M.A., Centro de Estudos Anglísticos, Universidade de Lisboa, Universidade de Évora, Portugal","At a time of widespread corruption and conformity, a director, Rodrigo Areias, emerges to project onto the big screen the disenchantment of a collective feeling that nothing can change in a country where the law of the jungle rules. In this scenario, the ethical and political appeal of Henry David Thoreau's concept of civil disobedience is more compelling than ever, thus fully justifying the production of a film such as Estrada de Palha (Straw Road) (2012). If in his work, the Portuguese director sought to show the urgency of civil disobedience acts in present-day Portuguese society, producing a western influenced by the political philosophy of Thoreau in Resistance to Civil Government (1849), this essay will necessarily have to reflect upon this influence and the various aspects of the timeliness of the American author's thoughts, while identifying interesting parallels with Alberto Carneiro, the main cinematographically created character of the film. Conceiving his film as a western set in Alentejo, which does not lack references to Ford, Leone, Jarmusch, Jodorowsky or Canijo, Rodrigo Areias was able to contrast violence with bucolicism, disobedience with passivity and conflict with peace, reconciling that which is irreconcilable, and creating strong imaginary equivalents to Thoreau's ethical concept of passive resistance. As a result, this study proposes to address how this film evokes the American western imagination and its distinctive codes, observing the process of its deconstruction into a Portuguese identity and its reconciliation with the subversive imagination of American Transcendentalism which Thoreau integrates. Suitable for representing an unstable sociopolitical environment, the western is undoubtedly one of the genres that best represents social systems in crisis, where acts of passive resistance will be most tested by their direct confrontation with the misuse of power, including a constant legitimation of usurpation and corruption. In line with its director, this essay will argue that Estrada de Palha has become more interesting because it is an admittedly Portuguese western that develops aesthetic and ethical means of political awareness based on current national reality, being neither a cliché of the genre nor a film with a strong ideological agenda. © 2019 University of Lisbon. All rights reserved.","Civil Disobedience; Estrada de Palha; Henry David Thoreau; Rodrigo Areias; Western","","M.A. Lima; Centro de Estudos Anglísticos, Universidade de Lisboa, Universidade de Évora, Portugal; email: lima.antonia@gmail.com","","Universidade de Lisboa","08730628","","","","Portuguese","Anglo Saxonica","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85109924159"
"Vidal J.P.","Vidal, Josep Pont (56204308900)","56204308900","Heuristics and social systems. Notes for observation of second order; [Heurística y sistemas sociales. Apuntes para la observación de segundo orden]","2019","Sociologia y Tecnociencia","9","2","","50","76","26","0","10.24197/st.2.2019.50-76","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069666137&doi=10.24197%2fst.2.2019.50-76&partnerID=40&md5=0c5a65f4ea3015c983a43b0e6b75146b","Núcleo Altos Estudos Amazônicos (NAEA), Universidade Federal de Pará (UFPA), Rua Augusto Corrêa, 1, Belém, Pará, 66075-900, Brazil","Vidal J.P., Núcleo Altos Estudos Amazônicos (NAEA), Universidade Federal de Pará (UFPA), Rua Augusto Corrêa, 1, Belém, Pará, 66075-900, Brazil","Possibilities and limits offered by the heuristic observation logic as method for obtaining information and appropriate decisions were analyzed. Current non-algorithmic logics in the construction of thought in three aspects are exposed: (1) circular observational logic (systemic); (2) the heuristic method in which the steps of an observation are emphasized; and (3) the possibilities and limits of the heuristic from the viewpoint of Niklas Luhmann's systemic self-referential observation logic and second-order observation. As conclusions, an operative logical construction in the self-referential perspective is outlined and that has the capacity to include the perspective of obtaining heuristic systemic knowledge with the hypotheses formulation. © 2019 Universidad de Valladolid. All rights reserved.","Heuristic method; Interdisciplinarity; Second order observation; Theory of self-referential systems","","J.P. Vidal; Núcleo Altos Estudos Amazônicos (NAEA), Universidade Federal de Pará (UFPA), Belém, Pará, Rua Augusto Corrêa, 1, 66075-900, Brazil; email: josevidal@ufpa.br","","Universidad de Valladolid","19898487","","","","Spanish","Sociol. Tecnocienc.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85069666137"
