container.title,created,deposited,published.online,doi,indexed,issn,issue,issued,member,page,prefix,publisher,score,source,reference.count,references.count,is.referenced.by.count,subject,title,type,url,abstract,short.container.title,author,link,license,alternative.id,language,reference,volume,published.print,update.policy,assertion,subtitle,funder,archive
Water,2021-03-19,2021-06-02,2021-03-18,10.3390/w13060833,2022-11-28,2073-4441,6,2021-03-18,1968,833,10.3390,MDPI AG,1,Crossref,35,35,2,"Water Science and Technology,Aquatic Science,Geography, Planning and Development,Biochemistry",Improvement of Strawberry Irrigation Sustainability in Southern Spain Using FAO Methodology,journal-article,http://dx.doi.org/10.3390/w13060833,"<jats:p>Irrigation sustainability is particularly important in the vicinity of Doñana National Park (Huelva, Spain), where Europe’s most important wetland area coexists with a profitable strawberry irrigation activity. In this paper, an innovation and technology transfer project was laid out. The project was promoted by the Institute of Agricultural and Fisheries Research and Training (IFAPA), belonging to the Regional Government of Andalusia. The main objective of the project was to contribute to the sustainability of the complex ecological, productive, and social system of this region. The project was focused on the rational use of water resources. Experimentation, demonstration, technology transfer, and training activities were carried out, involving public administrations, companies, and private farms. The project was carried out in collaboration with strawberry companies covering a total surface area of 1900 hectares. Irrigation application efficiency and irrigation water productivity increased by 66% and there was also a significant increase in water saving (44%), without resulting production losses. The success of the activity was based on the implication of farmers in experimentation assignments. During a five-year time span, irrigation trials took place on several farms. This fact allowed a progressive improvement of irrigation management by farmers based on confidence in the experimental work results.</jats:p>",Water,,,,w13060833,en,,13,NA,NA,,NA,,NA
A&amp;C - Revista de Direito Administrativo &amp; Constitucional,2022-12-25,2022-12-25,2022-10-25,10.21056/aec.v22i89.1418,2022-12-26,1516-3210,89,2022-10-25,8642,75,10.21056,Revista de Direito Administrativo and Constitucional,1,Crossref,0,0,0,Law,Direito e a Política nos Julgamentos da Suprema Corte em Direito à Saúde,journal-article,http://dx.doi.org/10.21056/aec.v22i89.1418,"<jats:p>A pesquisa analisará decisões do STF (Supremo Tribunal Federal) em direito à saúde com o objetivo de identificar se a troca comunicacional materializada na citada Corte - entre os sistemas político e jurídico - deu-se no sentido de respeitar ao mesmo tempo a operação fechada e a cognição aberta da política e do direito. O texto utilizou para a pesquisa de fontes bibliográficas e documentais. A pesquisa adota como premissa epistemológica a teoria dos sistemas da lavra de Niklas Luhmann. As fontes bibliográficas serão coletadas em fontes diretas e indiretas – diretas as de autoria do próprio Luhmann e as indiretas de seus comentadores. Como fontes documentais, refere-se às decisões do Supremo Tribunal Federal (STF) em direito à saúde.</jats:p>",A&amp;C - R. de Dir. Administrativo &amp; Constitucional,,,,NA,NA,,22,NA,NA,,NA,,NA
Sustainability,2021-01-21,2021-01-21,2021-01-15,10.3390/su13020794,2023-04-27,2071-1050,2,2021-01-15,1968,794,10.3390,MDPI AG,1,Crossref,135,135,70,"Management, Monitoring, Policy and Law,Renewable Energy, Sustainability and the Environment,Geography, Planning and Development",Biomass Waste as Sustainable Raw Material for Energy and Fuels,journal-article,http://dx.doi.org/10.3390/su13020794,"<jats:p>Sustainable development is the common goal of the current concepts of bioeconomy and circular economy. In this sense, the biorefineries platforms are a strategic factor to increase the bioeconomy in the economic balance. The incorporation of renewable sources to produce fuels, chemicals, and energy, includes sustainability, reduction of greenhouse gases (GHG), and creating more manufacturing jobs fostering the advancement of regional and social systems by implementing the comprehensive use of available biomass, due to its low costs and high availability. This paper describes the emerging biorefinery strategies to produce fuels (bio-ethanol and γ-valerolactone) and energy (pellets and steam), compared with the currently established biorefineries designed for fuels, pellets, and steam. The focus is on the state of the art of biofuels and energy production and environmental factors, as well as a discussion about the main conversion technologies, production strategies, and barriers. Through the implementation of biorefineries platforms and the evaluation of low environmental impact technologies and processes, new sustainable production strategies for biofuels and energy can be established, making these biobased industries into more competitive alternatives, and improving the economy of the current value chains.</jats:p>",Sustainability,,,,su13020794,en,,13,NA,NA,,NA,,NA
Human Organization,2020-12-02,2020-12-02,2020-12-02,10.17730/1938-3525-79.4.333,2022-12-30,"1938-3525,0018-7259",4,2020-12-01,7216,333-342,10.17730,Society for Applied Anthropology,1,Crossref,0,0,10,"General Social Sciences,Arts and Humanities (miscellaneous),Anthropology",Entangled Roots and Otherwise Possibilities: An Anthropology of Disasters COVID-19 Research Agenda,journal-article,http://dx.doi.org/10.17730/1938-3525-79.4.333,"<jats:p>We develop questions for a COVID-19 research agenda from the anthropology of disasters to study the production of pandemic as a feature of the normatively accepted societal state of affairs. We encourage an applied study of the pandemic that recognizes it as the product of connections between people, with their social systems, nonhumans, and the material world more broadly, with attention to root causes, (post)colonialism and capitalism, multispecies networks, the politics of knowledge, gifts and mutual aid, and the work of recovery.</jats:p>",NA,,,,NA,en,,79,2020-12-01,NA,,NA,,NA
Journal of Environmental Accounting and Management,2021-05-14,2021-05-14,2021-10-01,10.5890/jeam.2021.09.007,2023-03-10,"2325-6192,2325-6206",3,2021-10-01,7015,NA,10.5890,"L and H Scientific Publishing, LLC",1,Crossref,0,0,1,"Management, Monitoring, Policy and Law,Strategy and Management,Urban Studies,Ecological Modeling,Ecology,Accounting",How the Global Initiative Report's Indicators are Related to the Strong Sustainability Concept? - A Paraconsistent Approach,journal-article,http://dx.doi.org/10.5890/jeam.2021.09.007,NA,JEAM,,,,NA,NA,,9,2021-10-01,NA,,NA,,NA
Revista Opinião Jurídica (Fortaleza),2021-08-11,2021-08-11,2021-08-06,10.12662/2447-6641oj.v19i32.p267-295.2021,2022-04-07,"2447-6641,1806-0420",32,2021-08-06,4932,267,10.12662,Instituto para o Desenvolvimento da Educacao,1,Crossref,0,0,0,Law,OS RISCOS DO AGROTÓXICO GLIFOSATO: CONTROVÉRSIA CIENTÍFICA OU NEGAÇÃO DO DANO À SAÚDE HUMANA,journal-article,http://dx.doi.org/10.12662/2447-6641oj.v19i32.p267-295.2021,"<jats:p>Objetivo: O artigo objetiva examinar a controvérsia científica em relação ao agrotóxico glifosato, o qual, durante muitos anos, foi considerado seguro para a saúde humana e sustentável ambientalmente, mas que, na atualidade, está sendo questionado pelo sistema da ciência e pelo sistema do direito em relação aos riscos e ao dano futuro.Metodologia: A metodologia utilizada é a sistêmico-construtivista, a partir das contribuições de Niklas Luhmann, que possibilita examinar como cada sistema percebe o agrotóxico glifosato. No que tange às técnicas de procedimento, utiliza-se a revisão sistemática da literatura, pesquisa bibliográfica, documental e jurisprudencial.Resultados: Conclui-se que o sistema da ciência, ao comprovar correlação entre o glifosato e os danos à saúde humana, levou a sociedade a movimentos que vão desde a proibição do agrotóxico em alguns países até indenizações bilionárias às vítimas impetradas pelo sistema jurídico. Entretanto, o caminho é longo para que o agrotóxico mais consumido no mundo seja efetivamente banido.Contribuições: Ao examinar dados do sistema da ciência (pesquisas científicas), do sistema político (agências nacionais e internacionais de regulação) e do sistema do direito (ações e decisões na esfera judicial), o estudo oferece uma reflexão sobre o processo de autoconfrontação da sociedade com os riscos que ela própria criou ao lançar produtos, como o glifosato, sem pesquisas suficientes para indicar sua utilização segura.</jats:p>",OJ,,,,NA,NA,,19,NA,NA,,NA,,NA
Revista Científica General José María Córdova,2022-11-01,2022-11-08,2022-07-01,10.21830/19006586.889,2022-11-09,"2500-7645,1900-6586",39,2022-07-01,9290,631-649,10.21830,Escuela Militar de Cadetes Jose Maria Cordova,1,Crossref,42,42,0,"Law,Political Science and International Relations,Public Administration,Safety Research,Sociology and Political Science,Social Sciences (miscellaneous),Safety, Risk, Reliability and Quality",El reconocimiento de víctimas militares y sus implicaciones para el honor militar,journal-article,http://dx.doi.org/10.21830/19006586.889,"<jats:p>Este artículo investiga el grado de reconocimiento de la categoría de militar víctima en la normatividad y la doctrina del Ejército, y analiza su relación con el honor militar, central en la doctrina de los integrantes de las Fuerzas Armadas. Mediante una metodología cualitativa basada en el análisis documental, se determina el estatus de los militares víctimas a partir de las normas jurídicas que sustentan la categoría de militar víctima en Colombia y su transformación tras el Acuerdo de Paz de 2016. Luego se aborda la importancia y transformación del concepto de honor militar, y se discutió su relación con los militares víctimas. Con base en la autopoiesis de sistemas sociales, se concluye que la desatención institucional a los militares víctimas puede desarticular el principio del honor militar.</jats:p>",Rev. Cient. Gen. José María Córdova,,,,NA,NA,,20,NA,http://dx.doi.org/10.21830/crossmark,,NA,,NA
Kybernetes,2020-07-03,2021-10-29,2020-06-30,10.1108/k-02-2020-0118,2022-04-07,"0368-492X,0368-492X",10,2020-06-30,140,2850-2882,10.1108,Emerald,1,Crossref,49,49,0,"Computer Science (miscellaneous),Social Sciences (miscellaneous),Theoretical Computer Science,Control and Systems Engineering,Engineering (miscellaneous)",Utopian and dystopian ideological systems and unintended and adverse consequences,journal-article,http://dx.doi.org/10.1108/k-02-2020-0118,"<jats:sec>
<jats:title content-type=""abstract-subheading"">Purpose</jats:title>
<jats:p>The purpose of this paper is to demonstrate mathematically the impossibility of achieving a utopian society. Demonstrate that any attempt to correct deviations from a hypothetical trajectory whose ultimate goal is the utopia, increasingly demands more work, including measures that lead to terror, which may even be absolute, leading to the horrible paradox that in seeking paradise hell is constructed.</jats:p>
</jats:sec>
<jats:sec>
<jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title>
<jats:p>Scientific tools that the authors have used are: the theory of the system linkage, alysidal algebra, kinematic theory and vector analysis.</jats:p>
</jats:sec>
<jats:sec>
<jats:title content-type=""abstract-subheading"">Findings</jats:title>
<jats:p>Myths are the substrate of some complex systems of beliefs and utopia is its ultimate goal. The use of the combination of the theory of trajectories, belonging to the alysidal algebra, the theorem of unintended effects and kinematics theory provides an approximation to deviations suffering utopian ideological currents and their corrections.</jats:p>
</jats:sec>
<jats:sec>
<jats:title content-type=""abstract-subheading"">Originality/value</jats:title>
<jats:p>This paper is a continuation of other previous papers developing the theory of complex societies.</jats:p>
</jats:sec>",K,,,,10.1108/K-02-2020-0118,en,,50,2021-10-29,NA,,NA,,NA
The Translator,2022-09-05,2022-11-05,2022-09-05,10.1080/13556509.2022.2083752,2022-11-06,"1355-6509,1757-0409",2,2022-04-03,301,162-177,10.1080,Informa UK Limited,1,Crossref,41,41,0,"Linguistics and Language,Communication,Language and Linguistics",Who says who interprets? On the possible existence of an interpreter system,journal-article,http://dx.doi.org/10.1080/13556509.2022.2083752,NA,The Translator,,,,10.1080/13556509.2022.2083752,en,,28,2022-04-03,http://dx.doi.org/10.1080/tandf_crossmark_01,,NA,,NA
VISUAL REVIEW. International Visual Culture Review / Revista Internacional de Cultura Visual,2021-06-01,2022-09-30,2021-05-31,10.37467/gka-revvisual.v8.2866,2022-11-08,2695-9631,1,2021-05-31,36519,15-25,10.37467,Eagora Science,1,Crossref,17,17,1,Visual Arts and Performing Arts,Marcas de moda de lujo y el cuerpo femenino,journal-article,http://dx.doi.org/10.37467/gka-revvisual.v8.2866,"<jats:p>Este trabajo se centra en analizar si las marcas de moda de lujo, consideradas por la revista Forbes 2018, contribuyen con la responsabilidad social en aras de la inclusión femenina. Para ello, se ha tomado como muestra los perfiles de las instagrammers de talla XL más influyentes a nivel internacional en 2019, según la revista Trendencias (2019). Aplicando una metodología de carácter cualitativo-descriptivo, se ha demostrado que las marcas de moda de lujo que se publicitan en Instagram inducen a la consolidación de un sistema social en el que imperan los cuerpos perfectos, según el canon tradicional de belleza.</jats:p>",revVISUAL,,,,NA,NA,,8,NA,NA,,Ausencia de la Responsabilidad Social Corporativa en la publicidad de Instagram,,NA
Estudios Románicos,2022-05-05,2022-05-05,2022-05-01,10.6018/er.498111,2022-05-05,"1989-614X,0210-4911",NA,2022-05-01,4046,NA,10.6018,Servicio de Publicaciones de la Universidad de Murcia,1,Crossref,0,0,0,"Literature and Literary Theory,Linguistics and Language,Language and Linguistics","Diego Sandoval De Castro, un barlume intellettuale nell'oscura torre di Isabella Morra.",journal-article,http://dx.doi.org/10.6018/er.498111,"<jats:p xml:lang=""en"">Diego Sandoval de Castro, a poet of Spanish origins, published his “Petrarchian rhymes” in Naples in 1542, but these were not his only writings. The poet, in fact, offered the poetess Isabella Morra, imprisoned in a tower due to the oppressive and cruel attitude of her brothers, a disinterested and curious friendship concerning her art and her poetics, leaving testimony of this in the letters he addressed to her. Diego Sandoval de Castro represented for Isabella Morra the only contact with the outside world, the only intellectual chemistry comparable to a functional human relationship. Although the social system of the time ruthlessly crushed their relationship, collection of their letters remains as an example of a phylogenical approach to suffering and female condition.</jats:p>
          <jats:p xml:lang=""it"">Diego Sandoval de Castro, poeta di origini spagnole, pubblicò a Napoli le sue “Rime petrarchesche” nel 1542, ma non furono i suoi unici scritti. Il poeta, infatti, offrì alla poetessa Isabella Morra, reclusa in una torre a causa dell’atteggiamento oppressore e crudele dei fratelli, un’amicizia disinteressata e curiosa verso la sua arte e la sua poetica, lasciando testimonianza di questo nelle lettere a lei indirizzate. Diego Sandoval de Castro rappresentò per Isabella Morra l’unico contatto con il mondo esteriore, l’unica intesa intellettuale paragonabile a una relazione umana funzionale. Nonostante il sistema sociale dell’epoca abbia schiacciato in modo spietato la loro relazione, lo scambio epistolare rimane un esempio di approccio filogino alla sofferenza e alla condizione femminile.</jats:p>",Estud. Rom.,,,,NA,NA,,31,NA,NA,,NA,,NA
Journal of Human Growth and Development,2022-04-07,2022-04-07,2022-01-31,10.36311/jhgd.v32.12968,2022-04-07,"2175-3598,0104-1282",1,2022-01-31,22151,06-09,10.36311,Faculdade de Filosofia e Ciências,1,Crossref,0,0,0,Life-span and Life-course Studies,COVID-19 and influenza: implications in the public health context,journal-article,http://dx.doi.org/10.36311/jhgd.v32.12968,"<jats:p>The COVID-19 pandemic caused by the novel coronavirus SARS-CoV-2 continues to have a major impact on health and social systems around the world. it becomes necessary to monitor these diseases so that there are parameters for better decision making on the appropriate clinical management of these respective diseases. The two viruses manifest themselves in a similar way, causing respiratory diseases that can present asymptomatically, as well as from the cold to severe respiratory problems until death. The form of transmission is similar, through contact with droplets or particles of saliva and secretions, which implies preventive actions that involve the same hygiene measures, use of masks and the need to cough using the elbow or disposable tissues. This characterizes a syndemic.</jats:p>",jhgd,,,,NA,NA,,32,NA,NA,,NA,,NA
Social &amp; Legal Studies,2022-04-18,2022-12-15,2022-04-18,10.1177/09646639221094152,2022-12-16,"0964-6639,1461-7390",1,2022-04-18,179,116-138,10.1177,SAGE Publications,1,Crossref,35,35,0,"Law,General Social Sciences,Sociology and Political Science",Fake News in Brazil's 2018 Presidential Elections: A Systems Theory Approach to Judicial and Legal Responses,journal-article,http://dx.doi.org/10.1177/09646639221094152,"<jats:p> This article adopts an approach from social systems theory to map the legislative and judicial responses produced by Brazilian law in light of the 2018 presidential election in Brazil, a political event marked by the mass dissemination of fake news. The study applies social systems theory to observe and interpret the legislative process in relation to a Draft Statute on Fake News which is part of a regulatory movement concerning digital communications and personal data in Brazil. The article combines this with observations on case law from the Superior Electoral Court regarding fake news dissemination during the 2018 presidential election. The results of these analyses demonstrate the difficulty of regulating fake news in Brazil and the problems with a legal framework based on the deference of the Judiciary to legislative decisions; its openness to technology experts; and the adoption of “regulated self-regulation” as a way of building an interface between legal and political national systems and transnational digital platforms. </jats:p>",Social &amp; Legal Studies,,,,10.1177/09646639221094152,en,,32,2023-02,http://dx.doi.org/10.1177/sage-journals-update-policy,,NA,,NA
Human Behavior and Emerging Technologies,2020-12-28,2022-01-28,2020-12-28,10.1002/hbe2.241,2023-04-13,"2578-1863,2578-1863",1,2020-12-28,98,40-52,10.1155,Hindawi Limited,1,Crossref,49,49,2,"Human-Computer Interaction,General Social Sciences,Social Psychology","Striving for crisis resolution or crisis resilience? The crisis layers and thresholds model and Information and Communication Technology
            <scp>‐</scp>
            mediated social sensing for evidence‐based crisis management and communication",journal-article,http://dx.doi.org/10.1002/hbe2.241,NA,Human Behav and Emerg Tech,,,,10.1002/hbe2.241,en,,3,2021-01,http://dx.doi.org/10.1002/crossmark_policy,,NA,,Portico
Cinta de moebio,2022-10-24,2022-10-24,2022-09,10.4067/s0717-554x2022000200051,2022-10-25,0717-554X,74,2022-09,2516,51-64,10.4067,SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),1,Crossref,0,0,0,"Philosophy,Social Sciences (miscellaneous)",La teoría de sistemas sociales y el campo de estudios en educación superior,journal-article,http://dx.doi.org/10.4067/s0717-554x2022000200051,NA,Cinta moebio,,,,S0717-554X2022000200051,en,,NA,NA,NA,,NA,,NA
Siglo Cero Revista Española sobre Discapacidad Intelectual,2021-07-13,2022-06-18,2021-07-12,10.14201/scero202152e183196,2022-06-18,"2530-0350,0210-1696",1,2021-07-12,5351,183-196,10.14201,Ediciones Universidad de Salamanca,1,Crossref,5,5,0,"Psychiatry and Mental health,Pshychiatric Mental Health,Social Psychology,Education",Situación de las personas con discapacidad intelectual y sus familias frente a la crisis generada por Covid-19,journal-article,http://dx.doi.org/10.14201/scero202152e183196,"<jats:p>La situación generada por la crisis sanitaria ha desajustado todo el sistema social y las dinámicas habituales de comportamiento de la ciudadanía. Por supuesto, de igual manera, también ha afectado a las personas con discapacidad intelectual y a los sistemas de apoyos para estas. En este artículo queremos describir cómo las personas con discapacidad intelectual a las que Futuro Singular Córdoba presta apoyos vivieron la situación durante el confinamiento, con qué recursos contaban y cómo las familias valoraron el trabajo realizado desde la fundación. Por otra parte, queremos realizar una observación sobre cómo una cuestión de salud pública como la que hemos vivido puede afectar a los modelos de prestación de apoyos a las personas con discapacidad intelectual. Llegando a ponerse en riesgo los avances logrados gracias a enfoques centrados en la persona y de desarrollo comunitario frente a las propuestas de los modelos sociosanitarios que no se ajustan a la realidad de la mayoría de las personas con discapacidad intelectual. Esto supone un claro retroceso en las prácticas de prestación de apoyos centradas en modelos de ciudadanía e impacto en calidad de vida.</jats:p>",SC,,,,NA,NA,,NA,NA,NA,,NA,,NA
Kybernetes,2021-10-25,2023-01-14,2021-10-27,10.1108/k-05-2021-0404,2023-04-08,0368-492X,1,2021-10-27,140,448-462,10.1108,Emerald,1,Crossref,32,32,1,"Computer Science (miscellaneous),Social Sciences (miscellaneous),Theoretical Computer Science,Control and Systems Engineering,Engineering (miscellaneous)",Toward a diagnostic method of organizational health based on traditional Chinese medicine,journal-article,http://dx.doi.org/10.1108/k-05-2021-0404,"<jats:sec><jats:title content-type=""abstract-subheading"">Purpose</jats:title><jats:p>The paper aims to propose a model and a comprehensive diagnostic method of organizational health status based on traditional Chinese medicine (TCM).</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title><jats:p>The methodology is qualitative/interpretive and uses of the concept of functional homomorphism of WR Ashby is used, establishing similarities between the way in which this ancient medicine considers the human being and their condition as healthy to transfer it to an organization that produces goods and/or services.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Findings</jats:title><jats:p>A healthy organization is conceived as one constituted by an association of people regulated by a set of norms based on certain purposes in a state of harmonious balance of their physical and energetic dimensions. In that the physical refers to storage functions, regulation and allocation of resources; transformation of raw materials and inputs into goods and services; waste disposal, distribution and coordination and with information systems for management control, while energy is associated with the ability to act with its management and policies.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Research limitations/implications</jats:title><jats:p>The current paper is a first theoretical proposal, which should be enriched with practical applications that feedback its conceptual formulation, thus contributing to its validation.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Practical implications</jats:title><jats:p>A comprehensive organizational diagnostic method is made available.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Social implications</jats:title><jats:p>The proposed method allows a comprehensive organizational diagnosis, considering the participation of all the actors that make up this type of social systems.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Originality/value</jats:title><jats:p>Although the methodological resource is old, the way it is used here is considered original, and it is also part of an original investigative process by the authors, oriented toward the search for comprehensive organizational diagnostic methods.</jats:p></jats:sec>",K,,,,10.1108/K-05-2021-0404,en,,52,2023-01-17,NA,,NA,,NA
International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique,2022-01-05,2022-05-20,2022-01-05,10.1007/s11196-021-09877-z,2022-06-10,"0952-8059,1572-8722",3,2022-01-05,297,1039-1057,10.1007,Springer Science and Business Media LLC,1,Crossref,36,36,0,"Law,Language and Linguistics",Between Justice and Money: How the Covid-19 Crisis was used to De-Differentiate Legality in Ecuador,journal-article,http://dx.doi.org/10.1007/s11196-021-09877-z,NA,Int J Semiot Law,,,,9877,en,,35,2022-06,http://dx.doi.org/10.1007/springer_crossmark_policy,,NA,,NA
Kybernetes,2021-06-26,2022-03-28,2021-06-28,10.1108/k-11-2020-0762,2023-04-14,0368-492X,5,2021-06-28,140,1759-1774,10.1108,Emerald,1,Crossref,54,54,2,"Computer Science (miscellaneous),Social Sciences (miscellaneous),Theoretical Computer Science,Control and Systems Engineering,Engineering (miscellaneous)",Society and the moral semantics of the COVID-19 pandemic: a social systems approach,journal-article,http://dx.doi.org/10.1108/k-11-2020-0762,"<jats:sec><jats:title content-type=""abstract-subheading"">Purpose</jats:title><jats:p>In a context of critical transition such as the COVID-19 pandemic, moral semantics take a prominent role as a form of self-description of society. However, they are not usually observed, but rather assumed as self-evident and necessarily “good.” The purpose of the article is to summarize the theory of morality from the social systems' perspective and illustrate with concrete examples the polemogenous nature of moral communication.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title><jats:p>This article presents an analysis of the role of morality in the context of the COVID-19 pandemic, from the perspective of Niklas Luhmann’s social systems theory. Applying the method of second-order observation, it describes three cases of moral semantics disseminated via mass media and social media, and it examines their connection with the structural situation of subsystems of society during the pandemic crisis (particularly healthcare, politics and science).</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Findings</jats:title><jats:p>Second-order observation of moral communication demonstrates to be fruitful to describe the conditions and consequences in which moralization of communication occurs, particularly in a situation of critical transition around the healthcare crisis. The three examples examined, namely, the hero semantics directed to healthcare workers, the semantics of indiscipline and the controversies around pseudo-sciences and conspiracy theories, show how they are based on social attribution of esteem and disesteem, how they try to answer to troublesome situations and contradictions that seem difficult to cope, and how they are close related to the emergence of conflicts, even when they seem positive oriented and well intentioned.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Originality/value</jats:title><jats:p>This paper is an attempt to test the usefulness of Luhmann's theory of society to understand the ongoing COVID-19 crisis and particularly the role of moral communication in concrete examples.</jats:p></jats:sec>",K,,,,10.1108/K-11-2020-0762,en,,51,2022-03-29,NA,,NA,,NA
En-claves del pensamiento,2022-01-13,2022-01-13,2022-01-05,10.46530/ecdp.v0i31.494,2022-04-07,2594-1100,31,2022-01-05,25649,NA,10.46530,Instituto Tecnologico y de Estudios Superiores de Monterrey,1,Crossref,0,0,0,"Literature and Literary Theory,Philosophy,Religious studies,Visual Arts and Performing Arts,History",Kairós y vulnerabilidad de las personas afectadas por enfermedades raras: un análisis semiótico y hermenéutico,journal-article,http://dx.doi.org/10.46530/ecdp.v0i31.494,"<jats:p>En este artículo se realiza un análisis teórico de los condicionantes vitales que tienen las personas afectadas por enfermedades raras y sus familias. Esta investigación se estructura desde una perspectiva semiótica y hermenéutica para poder comprender mejor su realidad social. En ella hemos detectado la inexistencia del Kairós y el imperio del chronos. Este hecho es fruto de la estructuración del sistema social y de la limitación de opciones para estas personas. Ante esta realidad, se plantea la posibilidad de estructurar una sociedad donde se produzca una reducción kairológica y un fomento de la fraternidad, entendida como alternativa temporal.</jats:p>",ECDP,,,,NA,NA,,NA,2022-01-05,NA,,NA,,NA
Journal of Archaeological Method and Theory,2020-11-08,2022-11-27,2020-11-08,10.1007/s10816-020-09489-0,2022-12-07,"1072-5369,1573-7764",4,2020-11-08,297,1058-1105,10.1007,Springer Science and Business Media LLC,1,Crossref,228,228,1,"Archeology,Archeology",Measuring the Complexity of Past Social Systems: a Task Analysis Approach to the Study of Late Prehistoric Monumentality in Iberia,journal-article,http://dx.doi.org/10.1007/s10816-020-09489-0,NA,J Archaeol Method Theory,,,,9489,en,,28,2021-12,http://dx.doi.org/10.1007/springer_crossmark_policy,,NA,,NA
Frontiers in Sociology,2022-01-24,2022-01-24,2022-01-24,10.3389/fsoc.2021.763453,2023-03-02,2297-7775,NA,2022-01-24,1965,NA,10.3389,Frontiers Media SA,1,Crossref,111,111,2,General Social Sciences,Critical Transitions in Ecosystems and Society. The Contribution of Sociological Systems Theory to the Analysis of Socio-Environmental Transformations,journal-article,http://dx.doi.org/10.3389/fsoc.2021.763453,"<jats:p>The theory of critical transitions and the theory of self-referential social systems are two well-established theories in the ecosystem and sociological research respectively. A dialogue between them may offer new insights on the complex articulation of the nature and society nexus in socio-environmental transformations. By means of the conceptual reconstruction of both theories and drawing on relevant literature of social-ecological research, in this article, I argue that systems theory can contribute to the theory of critical transitions with a robust concept of communication that accounts for the relevance of semantics and social structures, the production of communicative locks, and the identification of early warning signals of social-ecological transitions in communication. On the other hand, the theory of critical transitions provides systems theory with both a refined concept of crisis as critical transition and the technical tools for empirical research. The article concludes that the dialogue between the science of ecosystems and the science of society is not an intellectual exercise but a form of increasing the correspondence between social-ecological transitions and our explanations and interventions in this domain.</jats:p>",Front. Sociol.,,,,10.3389/fsoc.2021.763453,NA,,6,NA,http://dx.doi.org/10.3389/crossmark-policy,,NA,,NA
Frontiers in Political Science,2022-03-29,2022-03-29,2022-03-24,10.3389/fpos.2022.805888,2022-07-14,2673-3145,NA,2022-03-24,1965,NA,10.3389,Frontiers Media SA,1,Crossref,109,109,1,"Polymers and Plastics,General Environmental Science","Complexity, Cooperation, and Public Goods: Quality of Place at Nixtun-Ch'ich', Petén, Guatemala",journal-article,http://dx.doi.org/10.3389/fpos.2022.805888,"<jats:p>Public goods are “non-excludable” and “non-rivalrous” resources, including roads, water management systems, and plazas, as well as “symbolic public goods,” such as religious architecture and social identity. Public goods occur in greater abundance in cities with more cooperative and inclusive forms of organization, which seems to undermine arguments that elites constructed them to augment their power. Such goods are major “pull” factors drawing migration to modern cities, but ancient cities also had public goods that likely attracted immigrants, increasing their population and diversity. We examine these ideas at Middle Preclassic-period (cal 800–300 BC) Nixtun-Ch'ich', in Petén, Guatemala. This city and other Preclassic metropoles in the Maya lowlands seem to have been on the more-cooperative end of a cooperative–competitive spectrum, compared to most cities of the Classic period (AD 200–900). We also speculate about how symbolic public goods were coopted to create a more exclusive social system in the Late Preclassic period (300 BC–AD 200).</jats:p>",Front. Polit. Sci.,,,,10.3389/fpos.2022.805888,NA,,4,NA,http://dx.doi.org/10.3389/crossmark-policy,,NA,,NA
Revista Española de Sociología,2022-03-29,2022-03-29,2022-03-29,10.22325/fes/res.2022.100,2022-04-06,"2445-0367,1578-2824",2,2022-03-29,9590,a100,10.22325,Federacion Espanola de Sociologia,1,Crossref,0,0,0,Sociology and Political Science,Marcos discursivos de un movimiento ecologista emergente y su impacto virtual,journal-article,http://dx.doi.org/10.22325/fes/res.2022.100,"<jats:p>El surgimiento de Fridays for Future (FfF) ha supuesto cambios en los discursos tradicionales en torno al cambio climático. Esto viene acompañado de nuevas estrategias comunicativas a través de las redes virtuales que han tenido bastante repercusión social, con un importante componente emocional basado en el concepto de emergencia climática. El objetivo de este artículo es el análisis de esta dimensión comunicativa a través de sus marcos discursivos y su uso en las redes, utilizando una metodología mixta basada en el trabajo etnográfico y un análisis de redes del movimiento (Twitter). Los resultados reflejan tres aspectos de su discurso que destacan respecto a lo que había recogido la literatura sobre marcos ecológicos anteriores: el énfasis en la emergencia climática frente a la sostenibilidad, el paso de las conductas individuales a la necesidad de transformación sistémica y, por último, su igualitarismo radical. Twitter se utiliza sobre todo para la información de movilizaciones recurriendo a los marcos del cambio de sistema y la emergencia climática, lo que consigue una repercusión menor que los mensajes sobre denuncia o divulgación de información ecológica. Estos últimos remiten con más frecuencia a marcos de justicia ecosocial, cambio climático y futuro en riesgo.</jats:p>",RES,,,,NA,NA,,31,NA,NA,,NA,,NA
