id,reference
journal-article-10.1017_s0022381613000182.xml,"Rahn, Wendy M. 1993. “The Role of Partisan Stereotypes in Information Processing about Political Candidates.” American Journal of Political Science 
               37 (2): 472–96."
journal-article-10.1017_s0022381613000182.xml,"Rodriguez, Clara. 2000. Changing Race. Philadelphia: Temple University Press."
journal-article-10.1017_s0022381613000182.xml,"Schaffner, Brian F., and Matthew J. Streb. 2002. “The Partisan Heuristic in Low-Information Elections.” Public Opinion Quarterly 
               66 (4): 559–81."
journal-article-10.1017_s0022381613000182.xml,"Shepsle, Kenneth A. 1972. “The Strategy of Ambiguity: Uncertainty and Electoral Competition.” American Political Science Review 
               66 (2): 558–68."
journal-article-10.1017_s0022381613000182.xml,"Sides, John. 2006. “The Origin of Campaign Agendas.” British Journal of Political Science 
               36 (3): 407–36."
journal-article-10.1017_s0022381613000182.xml,"Sunstein, C. R. 
               2007. Republic.com 2.0. Princeton, NJ: Princeton University Press."
journal-article-10.1017_s0022381613000182.xml,"Tesler, Michael, and David O. Sears. 2010. Obama’s Race. Chicago University of Chicago Press."
journal-article-10.1017_s0022381613000182.xml,"Tomz, Michael, and Robert P. Van Houweling. 2009. “The Electoral Implications of Candidate Ambiguity.” American Political Science Review 
               103 (1): 83–98."
journal-article-10.1017_s0022381613000182.xml,"Vavreck, Lynn. 2007. “The Exagerated Effects of Advertising on Turnout: The Dangers of Self-Reports.” Quarterly Journal of Political Science 
               2 (4): 325–43."
journal-article-10.1086_679189.xml,"Abbott, Andrew. 2007. “Mechanisms and Relations.” Sociologica 2:1–21."
journal-article-10.1086_679189.xml,"Addams, Jane. [1901] 2002. Democracy and Social Ethics. Urbana: University of Illinois Press."
journal-article-10.1086_679189.xml,"Adler, Paul, Seok-Woo Kwon, and Charles Heckscher. 2008. “Professional Work: The Emergence of Collaborative Community.” Organizational Science 18 (2): 359–76."
journal-article-10.1086_679189.xml,"Alapuro, Risto. 2005. “Associations and Contention in France and Finland: Constructing the Society and Describing the Society.” Scandinavian Political Studies 28 (4): 337–99."
journal-article-10.1086_679189.xml,"Alexander, Jeffrey. 2006. The Civil Sphere. New York: Oxford University Press."
journal-article-10.1086_679189.xml,"Allahyari, Rebecca. 2000. Visions of Charity: Volunteer Workers and Moral Community. Berkeley and Los Angeles: University of California Press."
journal-article-10.1086_679189.xml,"Andersen, Robert, James Curtis, and Edward Grabb. 2006. “Trends in Civic Association Activity in Four Democracies: The Special Case of Women in the United States.” American Sociological Review 71 (3): 376–400."
journal-article-10.1086_679189.xml,"Andrews, Kenneth T., Marshall Ganz, Matthew Baggetta, Hahrie Han, and Chaeyoon Kim. 2010. “Leadership, Membership, and Voice: Civic Associations That Work.” American Journal of Sociology 115 (4): 1191–1242."
journal-article-10.1086_679189.xml,"Armstrong, Elizabeth. 2002. Forging Gay Identities. Chicago: University of Chicago Press."
journal-article-10.1086_679189.xml,"Baggett, Jerome. 2000. Habitat for Humanity: Building Private Homes, Building Public Religion. Philadelphia: Temple University Press."
journal-article-10.1086_679189.xml,"Baiocchi, Gianpaolo. 2005. Militants and Citizens. Stanford, Calif.: Stanford University Press."
journal-article-10.1086_679189.xml,"Baiocchi, Gianpaolo, Elizabeth A. Bennett, Alissa Cordner, Peter Taylor Klein, and Stephanie Savell. 2014. The Civic Imagination: Making a Difference in American Political Life. Boulder, Colo.: Paradigm."
journal-article-10.1086_679189.xml,"Beamish, Thomas, and Amy Luebbers. 2009. “Alliance Building across Social Movements: Bridging Difference in a Peace and Justice Coalition.” Social Problems 56 (4): 647–76."
journal-article-10.1086_679189.xml,"Becker, Penny Edgell. 1999. Congregations in Conflict. New York: Cambridge University Press."
journal-article-10.1086_679189.xml,"Bellah, Robert, Richard Madsen, William Sullivan, Ann Swidler, and Steven Tipton. 1996. Habits of the Heart: Individualism and Commitment in American Life, 2d ed. Berkeley and Los Angeles: University of California Press."
journal-article-10.1086_679189.xml,"Berger, Mathieu. 2008. Bruxelles à l’épreuve de la participation: Les contrats de quartier en exercices. Brussels: Ministère de la Région de Bruxelles-Capitale/Kaligram."
journal-article-10.1086_679189.xml,"Berger, Peter, and Richard John Neuhaus. 1977. To Empower People: From State to Civil Society. Washington, D.C.: AEI Press."
journal-article-10.1086_679189.xml,"Berman, Sherri. 1997. “Civil Society and the Collapse of the Weimar Republic.” World Politics 49 (3): 401–29."
journal-article-10.1086_679189.xml,"Bernstein, Mary. 1997. “Celebration and Suppression: The Strategic Uses of Identity by the Lesbian and Gay Movement.” American Journal of Sociology 103 (3): 531–65."
journal-article-10.1086_679189.xml,"Binder, Amy. 2007. “For Love and Money: Organizations’ Creative Responses to Multiple Environmental Logics.” Theory and Society 36:547–71."
journal-article-10.1086_679189.xml,"Binder, Amy, and Kate Wood. 2013. Becoming Right: How Campuses Shape Young Conservatives. Princeton, N.J.: Princeton University Press."
journal-article-10.1086_679189.xml,"Blee, Kathleen. 2003. Inside Organized Racism. Berkeley and Los Angeles: University of California Press."
journal-article-10.1086_679189.xml,———. 2012. Democracy in the Making: How Activist Groups Form. New York: Oxford University Press.
journal-article-10.1086_679189.xml,"Bob, Clifford. 2005. The Marketing of Rebellion: Insurgents, Media, and International Activism. New York: Cambridge University Press."
journal-article-10.1086_679189.xml,"Bode, Inge. 2006. “Disorganized Welfare Mixes: Voluntary Agencies and New Governance Regimes in Western Europe.” Journal of European Social Policy 16 (4): 346–59."
journal-article-10.1086_679189.xml,"Boltanski, Luc, and Laurent Thévenot. (1991) 2005. On Justification. Princeton, N.J.: Princeton University Press."
journal-article-10.1086_679189.xml,———. 2000. “The Reality of Moral Expectations: A Sociology of Situated Judgement.” Philosophical Explorations: An International Journal for the Philosophy of Mind and Action 3 (3): 208–31.
journal-article-10.1086_679189.xml,"Boyte, Harry. 2004. Everyday Politics: The Power of Public Work. Philadelphia: University of Pennsylvania Press."
journal-article-10.1086_679189.xml,"Brettell, Caroline B., and Deborah Reed-Danahay. 2012. Civic Engagements: The Citizenship Practices of Indian and Vietnamese Immigrants. Stanford, Calif.: Stanford University Press."
journal-article-10.1086_679189.xml,"Breviglieri, Marc, Luca Pattaroni, and Joan Stavo-Debauge. 2003. “Quelques effets de l’idée de proximité sur la conduite et le devenir du travail social.” Swiss Journal of Sociology 29 (1): 141–57."
journal-article-10.1086_679189.xml,"Briggs, Xavier de Souza. 2008. Democracy as Problem Solving. Cambridge, Mass.: MIT Press."
journal-article-10.1086_679189.xml,"Brown, Michael. 1997. Replacing Citizenship: AIDS Activism and Radical Democracy. New York: Guilford."
journal-article-10.1086_679189.xml,"Brunsson, Nils. 2002. The Organization of Hypocrisy: Talk, Decisions, Actions in Organizations, 2d ed. Oslo: Abstrackt/Liber."
journal-article-10.1086_679189.xml,"Burawoy, Michael. 1998. “The Extended Case Method.” Sociological Theory 16 (1): 4–33."
journal-article-10.1086_679189.xml,"Burke, Kenneth. 1969. A Grammar of Motives. Berkeley: University of California Press."
journal-article-10.1086_679189.xml,"Calhoun, Craig. 1993. “Civil Society and the Public Sphere.” Public Culture 5:267–80."
journal-article-10.1086_679189.xml,"Carlsson, Chris, and Francesca Manning. 2010. “Nowtopia: Strategic Exodus.” Antipode 24 (4): 924–53."
journal-article-10.1086_679189.xml,"Cefaï, Daniel. 2002. “Que’est-ce qu’une arène publique? Quelques pistes dans une perspective pragmatiste.” Pp. 51–82 in L’héritage du pragmatisme: Conflits d’urbanité et épreuves de civisme, edited by Daniel Cefaï and Isaac Joseph. Paris: Editions de l’aube/Centre Culturel International de Cerisy-la-Salle."
journal-article-10.1086_679189.xml,"Charles, Julien. 2012. “Engagements et democratie participative.” Ph.D. dissertation. University of Louvain-la-Neuve, Department of Sociology."
journal-article-10.1086_679189.xml,"Chaves, Mark, Laura Stephens, and Joseph Galaskiewicz. 2004. “Does Government Funding Suppress Nonprofits’ Political Activities?” American Sociological Review 69:292–316."
journal-article-10.1086_679189.xml,"Cicourel, Aaron. 1973. Cognitive Sociology: Language and Meaning in Social Interaction. New York: Penguin."
journal-article-10.1086_679189.xml,"———. 1991. “Semantics, Pragmatics, and Situated Meaning.” Pp. 37–66 in Pragmatics at Issue, vol. 1. Edited by Jef Verschueren. Philadelphia: John Benjamins."
journal-article-10.1086_679189.xml,"———. 1993. “Aspects of Structural and Processual Theories of Knowledge.” Pp. 89–115 in Bourdieu: Critical Perspectives, edited by C. Calhoun, E. LiPuma, and M. Postone. Chicago: University of Chicago Press."
journal-article-10.1086_679189.xml,"Citroni, Sebastiano. 2010. “Inclusive Togetherness: A Comparative Ethnography of Cultural Associations Making Milan Sociable.” Ph.D. dissertation. Universitá degli Studi di Milano-Bicocca, Department of Sociology."
journal-article-10.1086_679189.xml,"Clemens, Elisabeth. 1997. The People’s Lobby. Chicago: University of Chicago Press."
journal-article-10.1086_679189.xml,"———. 2006. “The Constitution of Citizens: Political Theories of Nonprofit Organizations.” Pp. 207–20 in The Nonprofit Sector: A Research Handbook, edited by Walter Powell and Richard Steinberg. New Haven, Conn.: Yale University Press."
journal-article-10.1086_679189.xml,"———. 2011. “In the Shadow of the New Deal: Reconfiguring the Roles of Government and Charity, 1928–1940.” Pp. 79–115 in Politics and Partnerships: The Role of Voluntary Associations in America’s Political Past and Present, edited by Elisabeth Clemens and Doug Guthrie. Chicago: University of Chicago Press."
journal-article-10.1086_679189.xml,"Clemens, Elisabeth, and James Cook. 1999. “Politics and Institutionalism: Explaining Durability and Change.” Annual Review of Sociology 25:441–66."
journal-article-10.1086_679189.xml,"Clemens, Elisabeth, and Doug Guthrie, eds. 2011. Politics and Partnerships: The Role of Voluntary Associations in America’s Political Past and Present. Chicago: University of Chicago Press."
journal-article-10.1086_679189.xml,"Cohen, Jean, and Andrew Arato. 1992. Civil Society and Political Theory. Cambridge, Mass.: MIT Press."
journal-article-10.1086_679189.xml,"Crigler, Ann, Nina Eliasoph, Elias Iosif, Paul Lichterman, Alexandros Potamianos, Linda Wang, and Kalliopi Zervanou. 2014. “Is Virtual Ethnography Possible?” Presentation given at workshop Ethnography in Comparative Perspective: Challenges to Ethnographic Approaches. Sponsored by University of Southern California/University of Paris VIII. Los Angeles: April."
journal-article-10.1086_679189.xml,"D’Alisa, Giacomo, Federico Demaria, and Claudio Cattaneo. 2013. “Civil and Uncivil Actors for a Degrowth Society.” Journal of Civil Society 9:212–24."
journal-article-10.1086_679189.xml,"Daniels, Arlene Kaplan. 1988. Invisible Careers: Women Civic Leaders from the Volunteer World. Chicago: University of Chicago Press."
journal-article-10.1086_679189.xml,"Dasgupta, Kushan. 2013. “Mapping Group Identity in Community-Based Labor Advocacy.” Paper presented at the annual meeting of the American Sociological Association, New York."
journal-article-10.1086_679189.xml,"Dekker, Paul. 2009. “Civicness: From Civil Society to Civic Services?” Voluntas 20:220–38."
journal-article-10.1086_679189.xml,"Dekker, Paul, and Loek Halman, eds. 2003. The Values of Volunteering: Cross-Cultural Perspectives. NewYork: Kluwer Academic/Plenum."
journal-article-10.1086_679189.xml,"Delgado, Gary. 1986. Organizing the Movement. Philadelphia: Temple University Press."
journal-article-10.1086_679189.xml,"Dewey, John. 1927. The Public and Its Problems. Denver: Swallow."
journal-article-10.1086_679189.xml,"DiMaggio, Paul, and Helmut Anheier. 1990. “The Sociology of Nonprofit Organizations and Sectors.” Annual Review of Sociology 16:137–59."
journal-article-10.1086_679189.xml,"Doidy, Eric. 2008. “Cultiver l’enracinement: Réappropriations militants de l’attachment chez les eleveurs jurassiens.” Politix 21 (83): 155–87."
journal-article-10.1086_679189.xml,"Douglas, M., and A. B. Wildavsky. 1982. Risk and Culture: An Essay on the Selection of Technical and Environmental Dangers. Berkeley and Los Angeles: University of California Press."
journal-article-10.1086_679189.xml,"Durkheim, Émile. 1957. Professional Ethics and Civic Morals, translated by Cornelia Brookfield. London: Routledge & Kegan Paul."
journal-article-10.1086_679189.xml,"Ecklund, Elaine. 2006. Korean American Evangelicals. New York: Oxford University Press."
journal-article-10.1086_679189.xml,"Eckstein, Susan. 2001. “Community as Gift-Giving: Collectivistic Roots of Volunteerism.” American Sociological Review 66:829–51."
journal-article-10.1086_679189.xml,"Edwards, Michael. 2009. Civil Society, 2d ed. Cambridge: Polity."
journal-article-10.1086_679189.xml,"Edwards, Michael, and D. Hulme. 1996. “Introduction: NGO Performance and Accountability.” Pp. 3–16 in Beyond the Magic Bullet: NGO Performance and Accountability in the Post–Cold War World. London: Kumarian."
journal-article-10.1086_679189.xml,"Eliasoph, Nina. 1988. “Routines and the Making of Oppositional News.” Critical Studies in Mass Communication 5 (4): 313–34."
journal-article-10.1086_679189.xml,———. 1998. Avoiding Politics: How Americans Produce Apathy in Everyday Life. Cambridge: Cambridge University Press.
journal-article-10.1086_679189.xml,———. 2009. “Top-Down Civic Projects Are Not Grassroots Associations: How the Differences Matter in Everyday Life.” Voluntas 20:291–308.
journal-article-10.1086_679189.xml,"———. 2011a. “Civil Society and Civility.” Pp. 220–31 in The Oxford Handbook of Civil Society, edited by Michael Edwards. New York: Oxford University Press."
journal-article-10.1086_679189.xml,"———. 2011b. Making Volunteers: Civic Life after Welfare’s End. Princeton, N.J.: Princeton University Press."
journal-article-10.1086_679189.xml,"———. 2012. The Politics of Volunteering. Malden, Mass.: Polity."
journal-article-10.1086_679189.xml,———. 2014. “Measuring the Grassroots: Puzzles of Cultivating the Grassroots from the Top Down.” Sociological Quarterly 55:467–92.
journal-article-10.1086_679189.xml,"———. In press. “Spirals of Perpetual Potential: How Empowerment Projects’ Noble Missions Tangle in Everyday Life.” In Democratizing Inequalities, edited by Carolyn Lee, Michael McQuarrie, and Edward T. Walker. New York: New York University Press."
journal-article-10.1086_679189.xml,"Eliasoph, Nina, and Paul Lichterman. 2003. “Culture in Interaction.” American Journal of Sociology 108 (4): 735–94."
journal-article-10.1086_679189.xml,"Eliasoph, Nina, and Jade Lo. 2012. “Broadening Cultural Sociology’s Scope: Meaning-Making in Mundane Organizational Life.” Pp. 763–87 in Oxford Handbook on Cultural Sociology, edited by Jeffrey Alexander, Ronald Jacobs, and Philip Smith. New York: Oxford University Press."
journal-article-10.1086_679189.xml,"Elyachar, Julia. 2005. Markets of Dispossession: NGO’s, Economic Development and the State in Cairo. Durham, N.C.: Duke University Press."
journal-article-10.1086_679189.xml,"Emerson, Robert, Rachel Fretz, and Linda Shaw. 1995. Writing Ethnographic Fieldnotes. Chicago: University of Chicago Press."
journal-article-10.1086_679189.xml,"Emirbayer, Mustafa, and Ann Mische. 1998. “What Is Agency?” American Journal of Sociology 103 (4): 962–1023."
journal-article-10.1086_679189.xml,"Emirbayer, Mustafa, and Mimi Sheller. 1999. “Publics in History.” Theory and Society 28:145–97."
journal-article-10.1086_679189.xml,"Enjolras, Bernard. 2009. “Between Market and Civic Governance Regimes: Civicness in the Governance of Social Services in Europe.” Voluntas 20 (3): 274–90."
journal-article-10.1086_679189.xml,"Epstein, Barbara. 1991. Political Protest and Cultural Revolution. Berkeley and Los Angeles: University of California Press."
journal-article-10.1086_679189.xml,"Esping-Andersen, Gøsta. 1990. The Three Worlds of Welfare Capitalism. Princeton, N.J.: Princeton University Press."
journal-article-10.1086_679189.xml,"Etzioni, Amitai. 1968. The Active Society. New York: Free Press."
journal-article-10.1086_679189.xml,"Evers, Adalbert. 2009. “Civicness and Civility: Their Meanings for Social Services.” Voluntas 20:239–59."
journal-article-10.1086_679189.xml,"Faucher-King, Florence. 2005. Changing Parties: An Anthropology of British Political Party Conferences. New York: Palgrave Macmillan."
journal-article-10.1086_679189.xml,"Fine, Gary Alan. 2010. “The Sociology of the Local: Action and Its Publics.” Sociological Theory 28:355–76."
journal-article-10.1086_679189.xml,"Flanagan, Constance. 2004. “Volunteerism, Leadership, Political Socialization and Civic Engagement.” Pp. 721–45 in Handbook of Adolescent Psychology, 2d ed. Edited by R. Lerner and L. Steinberg. New York: Wiley."
journal-article-10.1086_679189.xml,"Foley, Michael, and Bob Edwards. 1997. “Escape from Politics? Social Theory and the Social Capital Debate.” American Behavioral Scientist 40:550–61."
journal-article-10.1086_679189.xml,"Follett, M. P. [1918] 1965. The New State: Group Organization the Solution of Popular Government. Gloucester, Mass.: Longmans, Green."
journal-article-10.1086_679189.xml,"Garrow, Eve, and Yeheskel Hasenfeld. 2014. “Institutional Logics, Moral Frames, and Advocacy: Explaining the Purpose of Advocacy among Nonprofit Human-Service Organizations.” Nonprofit and Voluntary Sector Quarterly 43:80–98."
journal-article-10.1086_679189.xml,"Gastil, J. 1993. Democracy in Small Groups: Participation, Decision-Making and Communication. Philadelphia: New Society Publishers."
journal-article-10.1086_679189.xml,"Gastil, J., D. Braman, D. Kahan, and P. Slovic. 2011. “The Cultural Orientation of Mass Political Opinion.” PS: Political Science and Politics 44:711–14."
journal-article-10.1086_679189.xml,"Gilmore, Ruth. 2007. “In the Shadow of the Shadow State.” Pp. 41–52 in The Revolution Will Not Be Funded: Beyond the Non-profit Industrial Complex, edited by Incite! Women of Color Against Violence. Boston: South End Press."
journal-article-10.1086_679189.xml,"Gitlin, Todd. 1987. The Sixties: Years of Hope, Days of Rage. New York: Bantam."
journal-article-10.1086_679189.xml,"Glaser, Barney, and Anselm Strauss. 1967. The Discovery of Grounded Theory. Chicago: Aldine."
journal-article-10.1086_679189.xml,"Goffman, Erving. 1961. Encounters: Two Studies in the Sociology of Interaction. Indianapolis: Bobbs-Merrill."
journal-article-10.1086_679189.xml,———. (1974) 1986. Frame Analysis: An Essay on the Organization of Experience. Boston: Northeastern University Press.
journal-article-10.1086_679189.xml,———. 1979. “Footing.” Semiotica 25:1–29.
journal-article-10.1086_679189.xml,"Goldfarb, Jeffrey. 1980. The Persistence of Freedom: The Sociological Implications of Polish Student Theater. Boulder, Colo.: Westview."
journal-article-10.1086_679189.xml,"Goodwin, Charles, and Alessandro Duranti. 1992. “Rethinking Context: An Introduction.” Pp. 1–42 in Rethinking Context: Language as an Interactive Phenomenon, edited by A. Duranti and C. Goodwin. Cambridge: Cambridge University Press."
journal-article-10.1086_679189.xml,"Gordon, Hava. 2009. We Fight to Win: Inequality and the Politics of Youth Activism. New Brunswick, N.J.: Rutgers University Press."
journal-article-10.1086_679189.xml,"Grogan, Colleen. 2014. America’s Hidden Health Care State. New York: Oxford University Press."
journal-article-10.1086_679189.xml,"Grootegoed, Ellen, Christian Bröer, and Jan Willem Duyvendak. 2013. “Too Ashamed to Complain: Cuts to Publicly Financed Care and Clients’ Waiving of Their Right to Appeal.” Journal of Social Policy 12 (3): 475–86."
journal-article-10.1086_679189.xml,"Gross, Neil. 2009. “A Pragmatist Theory of Social Mechanisms.” American Sociological Review 74 (3): 358–79."
journal-article-10.1086_679189.xml,"Gusfield, Joseph. 1981. The Culture of Public Problems: Drinking-Driving and the Symbolic Order. Chicago: University of Chicago Press."
journal-article-10.1086_679189.xml,"Habermas, Jürgen. (1962) 1989. The Structural Transformation of the Public Sphere. Cambridge, Mass.: MIT Press."
journal-article-10.1086_679189.xml,———. 1974. “The Public Sphere: An Encyclopedia Article.” New German Critique 3:49–55.
journal-article-10.1086_679189.xml,———. 1975. Legitimation Crisis. Boston: Beacon.
journal-article-10.1086_679189.xml,"———. 1984–87. Theory of Communicative Action, 2 vols. Boston: Beacon."
journal-article-10.1086_679189.xml,"———. 1996. Between Facts and Norms. Cambridge, Mass.: MIT Press."
journal-article-10.1086_679189.xml,"Hall, John, ed. 1995. Civil Society: Theory, History, Comparison. Cambridge: Polity."
journal-article-10.1086_679189.xml,"Hall, Peter Dobkin. 1999. “Vital Signs: Organizational Population Trends and Civic Engagement in New Haven, Connecticut, 1850–1998.” Pp. 211–48 in Civic Engagement in American Democracy, edited by T. Skocpol and M. Fiorina. Washington and New York: Brookings Institution and Russell Sage Foundation."
journal-article-10.1086_679189.xml,"Hallett, Tim, and Marc J. Ventresca. 2006. “Inhabited Institutions: Social Interactions and Organizational Forms in Gouldner’s Patterns of Industrial Bureaucracy.” Theory and Society 35 (2): 213–36."
journal-article-10.1086_679189.xml,"Hamidi, Camille. 2010. La société civile dans les cites: Engagement associatif et politisation dans des associations de quartier. Paris: Economica."
journal-article-10.1086_679189.xml,"Haney, Lynne. 2010. Offending Women: Power, Punishment, and the Regulation of Desire. Berkeley and Los Angeles: University of California Press."
journal-article-10.1086_679189.xml,"Harvey, David. 2005. A Brief History of Neoliberalism. New York: Oxford University Press."
journal-article-10.1086_679189.xml,"Hendrickson, Mark. 2011. “Steering the State: Government, Nonprofits, and the Making of Labor Knowledge in the New Era.” Pp. 54–78 in Politics and Partnerships: The Role of Voluntary Associations in America’s Political Past and Present, edited by Elisabeth Clemens and Doug Guthrie. Chicago: University of Chicago Press."
journal-article-10.1086_679189.xml,"Hillman, Arthur. 1960. Neighborhood Centers Today: Action Programs for a Rapidly Changing World. New York: National Federation of Settlements and Neighborhood Centers."
journal-article-10.1086_679189.xml,"Hodgkinson, Virginia, Margaret Gates, and Paul Schervish. 1995. Care and Community in Modern Society. New York: Jossey-Bass."
journal-article-10.1086_679189.xml,"Isserman, Maurice. 1987. If I Had a Hammer: The Death of the Old Left and the Birth of the New Left. New York: Basic Books."
journal-article-10.1086_679189.xml,"Janowitz, Morris. 1975. “Sociological Theory and Social Control.” American Journal of Sociology 81:82–108."
journal-article-10.1086_679189.xml,"Jensen, Jane, and Susan D. Phillips. 2000. “Distinctive Trajectories: Homecare and the Voluntary Sector in Quebec and Ontario.” Pp. 29–68 in The Nonprofit Sector in Canada: Roles and Relationships, edited by Keith G. Banting. Montreal: McGill–Queen’s University Press."
