id,tag,value
journal-article-10.2307_26556369,keyword,special issue 2016
journal-article-10.2307_26556371,keyword,keywords
journal-article-10.2307_26556371,keyword,actornetwork theory
journal-article-10.2307_26556371,keyword,crisis
journal-article-10.2307_26556371,keyword,machiavellian social theory
journal-article-10.2307_26556371,keyword,oligarchic metrics
journal-article-10.2307_26556371,keyword,oligarchic power
journal-article-10.2307_26556371,keyword,political economy
journal-article-10.2307_26556371,keyword,subjectivation
journal-article-10.2307_26556371,keyword,temporality
journal-article-10.2307_26556371,keyword,universal address
journal-article-10.2307_26556375,keyword,keywords
journal-article-10.2307_26556375,keyword,auteur
journal-article-10.2307_26556375,keyword,creative economy
journal-article-10.2307_26556375,keyword,event research
journal-article-10.2307_26556375,keyword,fashion designers
journal-article-10.2307_26556375,keyword,knowledge transfer
journal-article-10.2307_26556375,keyword,microenterprises
journal-article-10.2307_26556383,keyword,keywords
journal-article-10.2307_26556383,keyword,biography
journal-article-10.2307_26556383,keyword,disciplinary identity
journal-article-10.2307_26556383,keyword,interview
journal-article-10.2307_26556383,keyword,methodology
journal-article-10.2307_26556383,keyword,michèle lamont
journal-article-10.2307_26556383,keyword,sociology 50th anniversary
journal-article-10.2307_26556383,keyword,sociology journal
journal-article-10.2307_26556384,keyword,keywords
journal-article-10.2307_26556384,keyword,boundaries
journal-article-10.2307_26556384,keyword,disciplinary identity
journal-article-10.2307_26556384,keyword,ethnography
journal-article-10.2307_26556384,keyword,race
journal-article-10.2307_26556384,keyword,research craft and scholarship
journal-article-10.2307_26566422,keyword,keywords
journal-article-10.2307_26566422,keyword,welfare economics
journal-article-10.2307_26566422,keyword,convention theory
journal-article-10.2307_26566422,keyword,neoliberalism
journal-article-10.2307_26566422,keyword,impact investing
journal-article-10.2307_26566422,keyword,carbon markets
journal-article-10.2307_26566422,keyword,commensuration
journal-article-10.2307_26566422,keyword,commodification
journal-article-10.2307_26593335,keyword,keywords
journal-article-10.2307_26593335,keyword,onesided violence
journal-article-10.2307_26593335,keyword,civil war
journal-article-10.2307_26593335,keyword,powerlaw distribution
journal-article-10.2307_26593335,keyword,conflict prediction
journal-article-10.2307_26593335,keyword,early warning
journal-article-10.2307_26593335,keyword,syria
journal-article-10.2307_26593816,keyword,keywords
journal-article-10.2307_26593816,keyword,politicisation
journal-article-10.2307_26593816,keyword,security
journal-article-10.2307_26593816,keyword,parliaments
journal-article-10.2307_26593816,keyword,committees
journal-article-10.2307_26593816,keyword,arenashifting
journal-article-10.2307_26593816,keyword,uk
journal-article-10.2307_27522323,keyword,european social reporting
journal-article-10.2307_27522323,keyword,european social indicators
journal-article-10.2307_27522323,keyword,european social surveys
journal-article-10.2307_27522323,keyword,welfare production
journal-article-10.2307_27522323,keyword,social statistics
journal-article-10.2307_90012075,keyword,keywords
journal-article-10.2307_90012075,keyword,data sharing
journal-article-10.2307_90012075,keyword,poverty areas
journal-article-10.2307_90012075,keyword,mumbai
journal-article-10.2307_90012075,keyword,india
journal-article-10.2307_90012075,keyword,ethics
journal-article-10.2307_90012152,keyword,keywords
journal-article-10.2307_90012152,keyword,clinical settings
journal-article-10.2307_90012152,keyword,electronic health record
journal-article-10.2307_90012152,keyword,data mining
journal-article-10.2307_90012152,keyword,lgbt informed consent
journal-article-10.2307_90012152,keyword,lgbtq
journal-article-10.2307_90012152,keyword,other clinical
journal-article-10.2307_90012152,keyword,risks
journal-article-10.2307_90012152,keyword,benefits
journal-article-10.2307_90012152,keyword,and burdens of researchbeneficence and nonmaleficence
journal-article-10.2307_90012152,keyword,data sharing
journal-article-10.2307_deveandsoci.44.1.143,keyword,keywords
journal-article-10.2307_deveandsoci.44.1.143,keyword,public news
journal-article-10.2307_deveandsoci.44.1.143,keyword,asymmetric information
journal-article-10.2307_deveandsoci.44.1.143,keyword,stock volatility
journal-article-10.2307_deveandsoci.44.1.143,keyword,sentiment analysis
journal-article-10.2307_deveandsoci.44.1.143,keyword,semisupervised learning
journal-article-10.5325_goodsociety.23.2.0160,keyword,heuristic
journal-article-10.5325_goodsociety.23.2.0160,keyword,risk
journal-article-10.5325_goodsociety.23.2.0160,keyword,uncertainty
journal-article-10.5325_goodsociety.23.2.0160,keyword,complexity
journal-article-10.5325_goodsociety.23.2.0160,keyword,political equality
journal-article-10.5325_goodsociety.23.2.0160,keyword,epistemic democracy
journal-article-10.1017_s0022381613000182,journal,the journal of politics
journal-article-10.1086_679189,journal,american journal of sociology
journal-article-10.1086_680332,journal,philosophy of science
journal-article-10.1086_681102,journal,american journal of sociology
journal-article-10.1086_682962,journal,philosophy of science
journal-article-10.1086_683328,journal,philosophy of science
journal-article-10.1086_684083,journal,philosophy of science
journal-article-10.2307_135492,journal,the canadian journal of economics / revue canadienne d'economique
journal-article-10.2307_1422415,journal,the american journal of psychology
journal-article-10.2307_20695317,journal,contemporary sociology
journal-article-10.2307_23254603,journal,annual review of sociology
journal-article-10.2307_23275440,journal,the american political science review
journal-article-10.2307_23359639,journal,political analysis
journal-article-10.2307_23359641,journal,political analysis
journal-article-10.2307_23526828,journal,foreign affairs
journal-article-10.2307_23526834,journal,foreign affairs
journal-article-10.2307_23526865,journal,foreign affairs
journal-article-10.2307_23526900,journal,foreign affairs
journal-article-10.2307_23526901,journal,foreign affairs
journal-article-10.2307_23526922,journal,foreign affairs
journal-article-10.2307_23527002,journal,foreign affairs
journal-article-10.2307_23527004,journal,foreign affairs
journal-article-10.2307_23527006,journal,foreign affairs
journal-article-10.2307_23527341,journal,economic and political weekly
journal-article-10.2307_23527954,journal,economic and political weekly
journal-article-10.2307_24017822,journal,international studies quarterly
journal-article-10.2307_24032984,journal,international studies review
journal-article-10.2307_24033143,journal,journal of business ethics
journal-article-10.2307_24139028,journal,historical social research / historische sozialforschung. supplement
journal-article-10.2307_24142695,journal,historical social research / historische sozialforschung
journal-article-10.2307_24142701,journal,historical social research / historische sozialforschung
journal-article-10.2307_24235037,journal,zeitschrift für politikberatung (zpb) / policy advice and political consulting
journal-article-10.2307_24311162,journal,bms: bulletin of sociological methodology / bulletin de méthodologie sociologique
journal-article-10.2307_24311187,journal,bms: bulletin of sociological methodology / bulletin de méthodologie sociologique
journal-article-10.2307_24311189,journal,bms: bulletin of sociological methodology / bulletin de méthodologie sociologique
journal-article-10.2307_24311408,journal,bms: bulletin of sociological methodology / bulletin de méthodologie sociologique
journal-article-10.2307_24311574,journal,bms: bulletin of sociological methodology / bulletin de méthodologie sociologique
journal-article-10.2307_24363487,journal,american journal of political science
journal-article-10.2307_24371897,journal,political research quarterly
journal-article-10.2307_24371899,journal,political research quarterly
journal-article-10.2307_24371975,journal,political research quarterly
journal-article-10.2307_24385612,journal,social research
journal-article-10.2307_24426475,journal,middle east report
journal-article-10.2307_24433255,journal,sociology
journal-article-10.2307_24433723,journal,sociology
journal-article-10.2307_24433725,journal,sociology
journal-article-10.2307_24433740,journal,sociology
journal-article-10.2307_24433743,journal,sociology
journal-article-10.2307_24441843,journal,metaphilosophy
journal-article-10.2307_24442114,journal,"work, employment & society"
journal-article-10.2307_24461702,journal,journal of international affairs
journal-article-10.2307_24461704,journal,journal of international affairs
journal-article-10.2307_24461715,journal,journal of international affairs
journal-article-10.2307_24467139,journal,ethnography
journal-article-10.2307_24467545,journal,european journal of sociology / archives européennes de sociologie / europäisches archiv für soziologie
journal-article-10.2307_24479337,journal,economic and political weekly
journal-article-10.2307_24480742,journal,economic and political weekly
journal-article-10.2307_24481054,journal,economic and political weekly
journal-article-10.2307_24483207,journal,foreign affairs
journal-article-10.2307_24483317,journal,foreign affairs
journal-article-10.2307_24483581,journal,foreign affairs
journal-article-10.2307_24483587,journal,foreign affairs
journal-article-10.2307_24483669,journal,foreign affairs
journal-article-10.2307_24483807,journal,foreign affairs
journal-article-10.2307_24483811,journal,foreign affairs
journal-article-10.2307_24483812,journal,foreign affairs
journal-article-10.2307_24483813,journal,foreign affairs
journal-article-10.2307_24483820,journal,foreign affairs
journal-article-10.2307_24483912,journal,foreign affairs
journal-article-10.2307_24484902,journal,journal of public administration research and theory: j-part
journal-article-10.2307_24526257,journal,global governance
journal-article-10.2307_24538681,journal,international affairs (royal institute of international affairs 1944-)
journal-article-10.2307_24539825,journal,psychological science
journal-article-10.2307_24540230,journal,polity
journal-article-10.2307_24541786,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541804,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541844,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541845,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541846,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541847,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541848,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541849,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541852,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541853,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541854,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541856,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541859,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541862,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541863,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541865,journal,the annals of the american academy of political and social science
journal-article-10.2307_24541866,journal,the annals of the american academy of political and social science
journal-article-10.2307_24543502,journal,psychological science
journal-article-10.2307_24543552,journal,psychological science
journal-article-10.2307_24545949,journal,the public opinion quarterly
journal-article-10.2307_24545956,journal,the public opinion quarterly
journal-article-10.2307_24546000,journal,the public opinion quarterly
journal-article-10.2307_24546180,journal,the public opinion quarterly
journal-article-10.2307_24557406,journal,journal of peace research
journal-article-10.2307_24557408,journal,journal of peace research
journal-article-10.2307_24557411,journal,journal of peace research
journal-article-10.2307_24557414,journal,journal of peace research
journal-article-10.2307_24557423,journal,journal of peace research
journal-article-10.2307_24557478,journal,journal of peace research
journal-article-10.2307_24562159,journal,the independent review
journal-article-10.2307_24572845,journal,political analysis
journal-article-10.2307_24572970,journal,political analysis
journal-article-10.2307_24573066,journal,political analysis
journal-article-10.2307_24573819,journal,arms control today
journal-article-10.2307_24575963,journal,foreign policy
journal-article-10.2307_24576014,journal,foreign policy
journal-article-10.2307_24577350,journal,foreign policy
journal-article-10.2307_24577365,journal,foreign policy
journal-article-10.2307_24577426,journal,foreign policy
journal-article-10.2307_24577427,journal,foreign policy
journal-article-10.2307_24577466,journal,foreign policy
journal-article-10.2307_24577682,journal,foreign policy
journal-article-10.2307_24577694,journal,foreign policy
journal-article-10.2307_24577908,journal,foreign policy
journal-article-10.2307_24579864,journal,max weber studies
journal-article-10.2307_24579865,journal,max weber studies
journal-article-10.2307_24582958,journal,american journal of political science
journal-article-10.2307_24583053,journal,american journal of political science
journal-article-10.2307_24583064,journal,american journal of political science
journal-article-10.2307_24583171,journal,historical social research / historische sozialforschung
journal-article-10.2307_24583173,journal,historical social research / historische sozialforschung
journal-article-10.2307_24590987,journal,the brown journal of world affairs
journal-article-10.2307_24638572,journal,politique étrangère
journal-article-10.2307_24643823,journal,state politics & policy quarterly
journal-article-10.2307_24643860,journal,state politics & policy quarterly
journal-article-10.2307_24650927,journal,stato e mercato
journal-article-10.2307_24702299,journal,journal of business ethics
journal-article-10.2307_24703486,journal,journal of business ethics
journal-article-10.2307_24703624,journal,journal of business ethics
journal-article-10.2307_24703770,journal,journal of business ethics
journal-article-10.2307_24704576,journal,synthese
journal-article-10.2307_24709310,journal,international journal
journal-article-10.2307_24710571,journal,contexts
journal-article-10.2307_24710574,journal,contexts
journal-article-10.2307_24711106,journal,state politics & policy quarterly
journal-article-10.2307_24721428,journal,social indicators research
journal-article-10.2307_24754193,journal,social forces
journal-article-10.2307_24754273,journal,social forces
journal-article-10.2307_24754990,journal,studia logica: an international journal for symbolic logic
journal-article-10.2307_24755116,journal,sociologus
journal-article-10.2307_24755765,journal,journal of business ethics
journal-article-10.2307_24756349,journal,american sociological review
journal-article-10.2307_24756357,journal,american sociological review
journal-article-10.2307_24756400,journal,american sociological review
journal-article-10.2307_24756425,journal,american sociological review
journal-article-10.2307_24756428,journal,american sociological review
journal-article-10.2307_24758652,journal,administrative science quarterly
journal-article-10.2307_24758661,journal,administrative science quarterly
journal-article-10.2307_24758666,journal,administrative science quarterly
journal-article-10.2307_24769952,journal,revue française de science politique
journal-article-10.2307_24787721,journal,inside missile defense
journal-article-10.2307_24787732,journal,inside missile defense
journal-article-10.2307_24788109,journal,inside missile defense
journal-article-10.2307_24788142,journal,inside missile defense
journal-article-10.2307_24788143,journal,inside missile defense
journal-article-10.2307_24788408,journal,inside missile defense
journal-article-10.2307_24788409,journal,inside missile defense
journal-article-10.2307_24788410,journal,inside missile defense
journal-article-10.2307_24788478,journal,inside missile defense
journal-article-10.2307_24788524,journal,inside missile defense
journal-article-10.2307_24788525,journal,inside missile defense
journal-article-10.2307_24788604,journal,inside missile defense
journal-article-10.2307_24788605,journal,inside missile defense
journal-article-10.2307_24788616,journal,inside missile defense
journal-article-10.2307_24788720,journal,inside missile defense
journal-article-10.2307_24788738,journal,inside missile defense
journal-article-10.2307_24788740,journal,inside missile defense
journal-article-10.2307_24788996,journal,inside missile defense
journal-article-10.2307_24788997,journal,inside missile defense
journal-article-10.2307_24789268,journal,inside missile defense
journal-article-10.2307_24789279,journal,inside missile defense
journal-article-10.2307_24789468,journal,inside missile defense
journal-article-10.2307_24789469,journal,inside missile defense
journal-article-10.2307_24797814,journal,inside the air force
journal-article-10.2307_24797815,journal,inside the air force
journal-article-10.2307_24797816,journal,inside the air force
journal-article-10.2307_24797817,journal,inside the air force
journal-article-10.2307_24802860,journal,inside the air force
journal-article-10.2307_24802861,journal,inside the air force
journal-article-10.2307_24803197,journal,inside the air force
journal-article-10.2307_24803207,journal,inside the air force
journal-article-10.2307_24803343,journal,inside the air force
journal-article-10.2307_24803345,journal,inside the air force
journal-article-10.2307_24803518,journal,inside the air force
journal-article-10.2307_24803526,journal,inside the air force
journal-article-10.2307_24803898,journal,inside the air force
journal-article-10.2307_24804091,journal,inside the air force
journal-article-10.2307_24804100,journal,inside the air force
journal-article-10.2307_24804218,journal,inside the air force
journal-article-10.2307_24804219,journal,inside the air force
journal-article-10.2307_24804409,journal,inside the air force
journal-article-10.2307_24804410,journal,inside the air force
journal-article-10.2307_24804416,journal,inside the air force
journal-article-10.2307_24804556,journal,inside the air force
journal-article-10.2307_24804557,journal,inside the air force
journal-article-10.2307_24804595,journal,inside the air force
journal-article-10.2307_24805189,journal,inside the air force
journal-article-10.2307_24805190,journal,inside the air force
journal-article-10.2307_24812006,journal,ilr review
journal-article-10.2307_24836868,journal,inside the army
journal-article-10.2307_24836869,journal,inside the army
journal-article-10.2307_24836931,journal,inside the army
journal-article-10.2307_24836942,journal,inside the army
journal-article-10.2307_24837434,journal,inside the army
journal-article-10.2307_24837435,journal,inside the army
journal-article-10.2307_24837436,journal,inside the army
journal-article-10.2307_24837437,journal,inside the army
journal-article-10.2307_24837450,journal,inside the army
journal-article-10.2307_24837651,journal,inside the army
journal-article-10.2307_24837652,journal,inside the army
journal-article-10.2307_24837728,journal,inside the army
journal-article-10.2307_24837731,journal,inside the army
journal-article-10.2307_24837732,journal,inside the army
journal-article-10.2307_24837739,journal,inside the army
journal-article-10.2307_24837892,journal,inside the army
journal-article-10.2307_24837905,journal,inside the army
journal-article-10.2307_24837927,journal,inside the army
journal-article-10.2307_24837928,journal,inside the army
journal-article-10.2307_24840683,journal,inside the army
journal-article-10.2307_24840684,journal,inside the army
journal-article-10.2307_24840701,journal,inside the army
journal-article-10.2307_24840721,journal,inside the army
journal-article-10.2307_24840723,journal,inside the army
journal-article-10.2307_24840737,journal,inside the army
journal-article-10.2307_24840743,journal,inside the army
journal-article-10.2307_24840745,journal,inside the army
journal-article-10.2307_24840856,journal,inside the army
journal-article-10.2307_24840857,journal,inside the army
journal-article-10.2307_24841058,journal,inside the army
journal-article-10.2307_24841059,journal,inside the army
journal-article-10.2307_24841079,journal,inside the army
journal-article-10.2307_24841089,journal,inside the army
journal-article-10.2307_24841173,journal,inside the army
journal-article-10.2307_24841175,journal,inside the army
journal-article-10.2307_24841359,journal,inside the army
journal-article-10.2307_24841360,journal,inside the army
journal-article-10.2307_24841370,journal,inside the army
journal-article-10.2307_24841371,journal,inside the army
journal-article-10.2307_24841387,journal,inside the army
journal-article-10.2307_24841611,journal,inside the army
journal-article-10.2307_24841614,journal,inside the army
journal-article-10.2307_24841630,journal,inside the army
journal-article-10.2307_24841631,journal,inside the army
journal-article-10.2307_24841657,journal,inside the army
journal-article-10.2307_24841709,journal,inside the army
journal-article-10.2307_24841711,journal,inside the army
journal-article-10.2307_24841713,journal,inside the army
journal-article-10.2307_24841715,journal,inside the army
journal-article-10.2307_24841740,journal,inside the army
journal-article-10.2307_24841742,journal,inside the army
journal-article-10.2307_24841744,journal,inside the army
journal-article-10.2307_24841746,journal,inside the army
journal-article-10.2307_24841805,journal,inside the army
journal-article-10.2307_24841806,journal,inside the army
journal-article-10.2307_24841849,journal,inside the army
journal-article-10.2307_24841850,journal,inside the army
journal-article-10.2307_24847569,journal,inside the navy
journal-article-10.2307_24847570,journal,inside the navy
journal-article-10.2307_24847571,journal,inside the navy
journal-article-10.2307_24849445,journal,inside the navy
journal-article-10.2307_24849466,journal,inside the navy
journal-article-10.2307_24850571,journal,inside the navy
journal-article-10.2307_24850572,journal,inside the navy
journal-article-10.2307_24851491,journal,inside the navy
journal-article-10.2307_24851492,journal,inside the navy
journal-article-10.2307_24851501,journal,inside the navy
journal-article-10.2307_24851502,journal,inside the navy
journal-article-10.2307_24851503,journal,inside the navy
journal-article-10.2307_24851504,journal,inside the navy
journal-article-10.2307_24851521,journal,inside the navy
journal-article-10.2307_24851522,journal,inside the navy
journal-article-10.2307_24851526,journal,inside the navy
journal-article-10.2307_24851527,journal,inside the navy
journal-article-10.2307_24851616,journal,inside the navy
journal-article-10.2307_24851617,journal,inside the navy
journal-article-10.2307_24851734,journal,inside the navy
journal-article-10.2307_24851736,journal,inside the navy
journal-article-10.2307_24852510,journal,inside the navy
journal-article-10.2307_24852525,journal,inside the navy
journal-article-10.2307_24852621,journal,inside the navy
journal-article-10.2307_24852622,journal,inside the navy
journal-article-10.2307_24852694,journal,inside the navy
journal-article-10.2307_24852743,journal,inside the navy
journal-article-10.2307_24852761,journal,inside the navy
journal-article-10.2307_24852763,journal,inside the navy
journal-article-10.2307_24852766,journal,inside the navy
journal-article-10.2307_24852768,journal,inside the navy
journal-article-10.2307_24852827,journal,inside the navy
journal-article-10.2307_24852842,journal,inside the navy
journal-article-10.2307_24853040,journal,inside the navy
journal-article-10.2307_24853055,journal,inside the navy
journal-article-10.2307_24853057,journal,inside the navy
journal-article-10.2307_24853532,journal,inside the navy
journal-article-10.2307_24853533,journal,inside the navy
journal-article-10.2307_24854004,journal,inside the navy
journal-article-10.2307_24854014,journal,inside the navy
journal-article-10.2307_24854358,journal,inside the navy
journal-article-10.2307_24854382,journal,inside the navy
journal-article-10.2307_24854384,journal,inside the navy
journal-article-10.2307_24876577,journal,inside the navy
journal-article-10.2307_24876796,journal,inside the air force
journal-article-10.2307_24876808,journal,inside the air force
journal-article-10.2307_24876956,journal,inside the army
journal-article-10.2307_24876968,journal,inside the army
journal-article-10.2307_24877622,journal,american journal of political science
journal-article-10.2307_24877697,journal,aq: australian quarterly
journal-article-10.2307_24877790,journal,aq: australian quarterly
journal-article-10.2307_24877798,journal,aq: australian quarterly
journal-article-10.2307_24878707,journal,sociological forum
journal-article-10.2307_24878711,journal,sociological forum
journal-article-10.2307_24878800,journal,sociological forum
journal-article-10.2307_24887560,journal,teaching sociology
journal-article-10.2307_24890283,journal,social scientist
journal-article-10.2307_24899037,journal,sociologisk forskning
journal-article-10.2307_26159805,journal,social psychology quarterly
journal-article-10.2307_26160698,journal,voluntas: international journal of voluntary and nonprofit organizations
journal-article-10.2307_26165459,journal,zeitschrift für staats- und europawissenschaften (zse) / journal for comparative government and european policy
journal-article-10.2307_26165494,journal,zeitschrift für staats- und europawissenschaften (zse) / journal for comparative government and european policy
journal-article-10.2307_26179358,journal,the international journal of social quality
journal-article-10.2307_26201960,journal,american intelligence journal
journal-article-10.2307_26201974,journal,american intelligence journal
journal-article-10.2307_26202022,journal,american intelligence journal
journal-article-10.2307_26202065,journal,american intelligence journal
journal-article-10.2307_26202096,journal,american intelligence journal
journal-article-10.2307_26202097,journal,american intelligence journal
journal-article-10.2307_26202099,journal,american intelligence journal
journal-article-10.2307_26202109,journal,american intelligence journal
journal-article-10.2307_26202111,journal,american intelligence journal
journal-article-10.2307_26202114,journal,american intelligence journal
journal-article-10.2307_26202160,journal,american intelligence journal
journal-article-10.2307_26202161,journal,american intelligence journal
journal-article-10.2307_26202162,journal,american intelligence journal
journal-article-10.2307_26202166,journal,american intelligence journal
journal-article-10.2307_26204946,journal,environment & society
journal-article-10.2307_26204947,journal,environment & society
journal-article-10.2307_26204953,journal,environment & society
journal-article-10.2307_26270605,journal,strategic studies quarterly
journal-article-10.2307_26270616,journal,strategic studies quarterly
journal-article-10.2307_26270619,journal,strategic studies quarterly
journal-article-10.2307_26271491,journal,strategic studies quarterly
journal-article-10.2307_26271574,journal,strategic studies quarterly
journal-article-10.2307_26271590,journal,strategic studies quarterly
journal-article-10.2307_26271632,journal,strategic studies quarterly
journal-article-10.2307_26271634,journal,strategic studies quarterly
journal-article-10.2307_26292280,journal,security dialogue
journal-article-10.2307_26292283,journal,security dialogue
journal-article-10.2307_26292284,journal,security dialogue
journal-article-10.2307_26292341,journal,security dialogue
journal-article-10.2307_26302441,journal,security dialogue
journal-article-10.2307_26378220,journal,"french politics, culture & society"
journal-article-10.2307_26378573,journal,journal of palestine studies
journal-article-10.2307_26379522,journal,american journal of political science
journal-article-10.2307_26380492,journal,china perspectives
